Référence,Intitulé synthétique,Type d'AO,Type,Fonction publique,Acheteur_auto,Acheteur_manual,Acheteur_clean,Localisation_auto,Localisation_manual,Localisation,Localisation_clean,Date_limite_auto,Date_limite_manual,Date limite de remise des offres,Durée initiale du marché,Reconduction(s),Estimation_auto,Estimation_manual,Estimation du marché,URL source HTTPS,Plateforme,match_status,match_source,review_needed,extraction_notes,Colonne 1,Colonne 2,Column 29,source_type,categorie_regime,preuve_regime,typologie_marche_verifiee,preuve_typologie,qualite_preuve_procedure,conflit_detecte,type_conflit,preuve_joue_detectee,source_preuve_joue,famille_procedure_deduite,niveau_procedure_deduit,justification_juridique_courte,seuil_formalise_applicable,code_couleur_procedure
2992873?orgAcronyme=d4t,Assistance à maîtrise d’ouvrage pour la conception et la passation de marchés publics de développement d’outils de gestion et de visualisation de données sur l’eau sur le bassin versant Marais poitevin,-,-,-,MTES-MCTRCT-MER / EP / EP MP - Etablissement Public du Marais Poitevin,,MTES-MCTRCT-MER / EP / EP MP - Etablissement Public du Marais Poitevin,"(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres",,"(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres","(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres",2026-06-22 12:00:00,,2026-06-22 12:00:00,-,-,-,,-,-,PLACE,new,2992873?orgAcronyme=d4t.html,,title: header_generic -> rejected score=-75 value='Détail de la consultation' reason=generic_exact_title; title: business_title_line -> accepted score=60 value='Assistance à maîtrise d’ouvrage pour la conception et la passation de marchés publics de développement d’outils de gestion et de visualisation de données sur l’eau sur le bassin versant Marais poitevin'; buyer: entity_line -> accepted score=60 value='MTES-MCTRCT-MER / EP / EP MP - Etablissement Public du Marais Poitevin'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement',-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
B26-01107-LS,Prestations de tierce maintenance applicative (TMA) des Logiciels Systèmes Energétiques du CEA Liten,-,-,-,AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE,,AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE,(38) Isère,,(38) Isère,(38) Isère,2026-06-10 16:00:00,,2026-06-10 16:00:00,-,-,-,,-,-,PLACE,new,2997383?orgAcronyme=s2d.html,,title: header_generic -> rejected score=-75 value='Détail de la consultation' reason=generic_exact_title; title: line_after_reference -> rejected score=35 value='Intitulé' reason=too_short; title: business_title_line -> accepted score=60 value='Prestations de tierce maintenance applicative (TMA) des Logiciels Systèmes Energétiques du CEA Liten'; buyer: category_label -> rejected score=-90 value='Autres organismes' reason=generic_exact_buyer; buyer: category_label -> rejected score=-90 value='Autres organismes' reason=generic_exact_buyer; buyer: entity_line -> accepted score=70 value='AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement',-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
2998043?orgAcronyme=f2h,-,-,-,-,EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest,,EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest,"(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne",,"(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne","(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne",2026-06-15 12:00:00,,2026-06-15 12:00:00,-,-,-,,-,-,PLACE,new,2998043?orgAcronyme=f2h.html,,title: header_generic -> rejected score=-75 value='Détail de la consultation' reason=generic_exact_title; buyer: entity_line -> accepted score=70 value='EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement',-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
36parisien1157695-2026-infogerance-systeme-information,Infogérance du système d'information de la ville de Croissy-sur-Seine Enregistrer cet appel d’offre Localisation : Yvelines (78) - Croissy-sur-Seine Date de clotûre,-,-,-,Ville de Croissy-sur-Seine,,Ville de Croissy-sur-Seine,Plusieurs lieux,,Plusieurs lieux,Plusieurs lieux,-,,-,-,-,-,,-,https://www.francemarches.com/appel-offre/,France Marchés,new,36parisien1157695-2026-infogerance-systeme-information.html,,"title: editorial_header -> accepted score=70 value=""Infogérance du système d'information de la ville de Croissy-sur-Seine Enregistrer cet appel d’offre Localisation : Yvelines (78) - Croissy-sur-Seine Date de clotûre""; title: legal_text_title -> rejected score=40 value='' reason=empty; title: description_short -> accepted score=50 value=""Infogérance du système d'information de la ville de Croissy-sur-Seine""; buyer: editorial_buyer_block -> rejected score=30 value='' reason=empty; buyer: legal_nom_complet -> accepted score=65 value='Ville de Croissy-sur-Seine'; buyer: legal_nom_officiel -> rejected score=35 value='' reason=empty",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
37ao26154015290520267275-2026-cadrage-conception-developpement,-,-,-,-,1.1 Acheteur,,1.1 Acheteur,"Votre code postal ne semble pas en France. Rien de grave, vous pouvez le modifier ou simplement valider",,"Votre code postal ne semble pas en France. Rien de grave, vous pouvez le modifier ou simplement valider","Votre code postal ne semble pas en France. Rien de grave, vous pouvez le modifier ou simplement valider",-,,-,-,-,16000000.0,,16000000.0,-,BOAMP,new,37ao26154015290520267275-2026-cadrage-conception-developpement.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=40 value='1.1 Acheteur',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
37ao26181552260520267275-2026-prestations-assistance-technique,-,-,-,-,1.1 Acheteur,,1.1 Acheteur,"Votre code postal ne semble pas en France. Rien de grave, vous pouvez le modifier ou simplement valider",,"Votre code postal ne semble pas en France. Rien de grave, vous pouvez le modifier ou simplement valider","Votre code postal ne semble pas en France. Rien de grave, vous pouvez le modifier ou simplement valider",-,,-,-,-,8700000.0,,8700000.0,-,BOAMP,new,37ao26181552260520267275-2026-prestations-assistance-technique.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=40 value='1.1 Acheteur'; buyer: org_info_complementaires -> accepted score=-35 value='Organisation qui fournit un accès hors ligne aux documents de marché',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
DAF_2025_001001,Prestations d’assistance et d’expertise pour migration et déploiement des SI vers le cloud au profit du Centre Spécialisé Cloud du MINARM (référence interne DAF).,Procédure négociée,Services,Etat,"Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM, France entière.",,Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM,Val-de-Marne,,Val-de-Marne,France entière,26/05/2026,,26/05/2026,66 mois,Cf règlement de la consultation,18.02 M€ HT,,18.02 M€ HT,https://www.francemarches.com/appel-offre/37ao26181581260520263294-2026-prestations-assistance-expertise,SCRAPPING REDPOINT,matched,37ao26181581260520263294-2026-prestations-assistance-expertise.html,,,,,,-,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2640079-2026-mise-disposition-adaptation,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,500000.0,,500000.0,-,BOAMP,new,3boamp2640079-2026-mise-disposition-adaptation.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2641049-2026-assistance-externe-pour,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,400000.0,,400000.0,-,BOAMP,new,3boamp2641049-2026-assistance-externe-pour.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2641974-2026-maintien-condition-operationnelle,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,-,,-,-,BOAMP,new,3boamp2641974-2026-maintien-condition-operationnelle.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2642071-2026-assistance-ingenierie-coordination,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,-,,-,-,BOAMP,new,3boamp2642071-2026-assistance-ingenierie-coordination.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2642106-2026-acquisition-mise-oeuvre,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,-,,-,-,BOAMP,new,3boamp2642106-2026-acquisition-mise-oeuvre.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2642682-2026-renouvellement-maintenance-serveurs,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,1025000.0,,1025000.0,-,BOAMP,new,3boamp2642682-2026-renouvellement-maintenance-serveurs.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2643374-2026-refonte-site-internet,-,-,-,-,Nom complet de l'acheteur,,Nom complet de l'acheteur,"Votre code postal ne semble pas en France. Rien de grave, vous pouvez le modifier ou simplement valider",,"Votre code postal ne semble pas en France. Rien de grave, vous pouvez le modifier ou simplement valider","Votre code postal ne semble pas en France. Rien de grave, vous pouvez le modifier ou simplement valider",-,,-,-,-,-,,-,-,BOAMP,new,3boamp2643374-2026-refonte-site-internet.html,,"title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=45 value=""Nom complet de l'acheteur""",-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2643609-2026-prestations-services-informatiques,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,-,,-,-,BOAMP,new,3boamp2643609-2026-prestations-services-informatiques.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2644098-2026-prestations-conseil-collecte,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,750000.0,,750000.0,-,BOAMP,new,3boamp2644098-2026-prestations-conseil-collecte.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2644226-2026-assistance-maitrise-oeuvre,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,2000000.0,,2000000.0,-,BOAMP,new,3boamp2644226-2026-assistance-maitrise-oeuvre.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2644837-2026-systeme-information-dpsm,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,-,,-,-,BOAMP,new,3boamp2644837-2026-systeme-information-dpsm.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2646966-2026-present-marche-pour?q=72200000,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,440000.0,,440000.0,-,BOAMP,new,3boamp2646966-2026-present-marche-pour?q=72200000.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2647530-2026-missions-infogerance-systemes?q=72200000,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,-,,-,-,BOAMP,new,3boamp2647530-2026-missions-infogerance-systemes?q=72200000.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2647639-2026-mise-place-outil?q=72200000,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,-,,-,-,BOAMP,new,3boamp2647639-2026-mise-place-outil?q=72200000.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
3boamp2648308-2026-prestation-reseau-cloud,Prestation IT : Réseau / Cloud / Sécurité,-,-,-,SPL P.A.R.S.E.F,,SPL P.A.R.S.E.F,(77) Seine-et-Marne,,(77) Seine-et-Marne,(77) Seine-et-Marne,-,,-,-,-,-,,-,https://www.francemarches.com/appel-offre/,France Marchés,new,3boamp2648308-2026-prestation-reseau-cloud?q=72200000.html,,"title: editorial_header -> accepted score=70 value='Prestation IT : Réseau / Cloud / Sécurité Enregistrer cet appel d’offre Localisation : Seine-et-Marne (77) Date de clotûre'; title: legal_text_title -> accepted score=75 value='Prestation IT : Réseau / Cloud / Sécurité'; title: description_short -> accepted score=50 value='Le présent marché a pour objet l’hébergement, la supervision et la maintenance d’une infrastructure informatique, nécessaire au fonctionnement du système d’information de la SPL. Ce marché s’inscrit dans une logique d’infogérance globale des infrastructures existantes et vise à assurer leur exploitation, leur sécurisation et leur évolution'; buyer: editorial_buyer_block -> rejected score=30 value='' reason=empty; buyer: legal_nom_complet -> accepted score=50 value='SPL P.A.R.S.E.F'; buyer: legal_nom_officiel -> rejected score=35 value='' reason=empty",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
MO-9589316,Infogérance du système d'information de l'INSEAMM,-,-,-,ESADMM,,ESADMM,13 - MARSEILLE,,13 - MARSEILLE,13 - MARSEILLE,2026-05-29 00:00:00,,2026-05-29 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9589316-1.html,,"title: h1_title_avis -> accepted score=75 value=""Infogérance du système d'information de l'INSEAMM""; title: title_tag -> accepted score=65 value=""Infogérance du système d'information de l'INSEAMM""; title: meta_description -> accepted score=60 value=""Infogérance du système d'information de l'INSEAMM""; buyer: company_link -> accepted score=45 value='ESADMM'",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
MO-9591946,Prestations d'assistance et d'expertise pour la migration et le déploiement des systèmes d'information vers le cloud au profit du Centre Spécialisé Cloud du MINARM,-,-,-,MINDEF/DIRISI/Bureau Marchés,,MINDEF/DIRISI/Bureau Marchés,94 - MINISTERE DES ARMEES,,94 - MINISTERE DES ARMEES,94 - MINISTERE DES ARMEES,2026-05-26 00:00:00,,2026-05-26 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9591946-1.html,,"title: h1_title_avis -> accepted score=80 value=""Prestations d'assistance et d'expertise pour la migration et le déploiement des systèmes d'information vers le cloud au profit du Centre Spécialisé Cloud du MINARM""; title: title_tag -> accepted score=70 value=""Prestations d'assistance et d'expertise pour la migration et le déploiement des systèmes d'information vers le cloud au profit du Centre Spécialisé Cloud du MINARM""; title: meta_description -> accepted score=65 value=""Prestations d'assistance et d'expertise pour la migration et le déploiement des systèmes d'information vers le cloud au profit du Centre Spécialisé Cloud du MINARM""; buyer: company_link -> accepted score=75 value='MINDEF/DIRISI/Bureau Marchés'; buyer: nom_officiel_pattern -> accepted score=55 value='Commissariat au Numérique de Défense (CND)'",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
MO-9592936,"Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités",-,-,-,Gaz Electricité de Grenoble,,Gaz Electricité de Grenoble,38 - GRENOBLE,,38 - GRENOBLE,38 - GRENOBLE,2026-05-26 00:00:00,,2026-05-26 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9592936-1.html,,"title: h1_title_avis -> accepted score=80 value=""Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités""; title: title_tag -> rejected score=35 value='Fourniture' reason=generic_exact_title; title: meta_description -> accepted score=65 value=""Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités""; buyer: company_link -> accepted score=60 value='Gaz Electricité de Grenoble'; buyer: nom_officiel_pattern -> accepted score=55 value='GAZ ELECTRICITE DE GRENOBLE'",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
MO-9594452,"Marché de prestations de maintenance d'assistance et d'infogérance du parc informatique, réseau et télécom de l'EPPGHV",-,-,-,Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV),,Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV),75 - EPPGHV,,75 - EPPGHV,75 - EPPGHV,2026-06-01 00:00:00,,2026-06-01 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9594452-1.html,,"title: h1_title_avis -> accepted score=80 value=""Marché de prestations de maintenance d'assistance et d'infogérance du parc informatique, réseau et télécom de l'EPPGHV""; title: title_tag -> accepted score=70 value=""Marché de prestations de maintenance d'assistance et d'infogérance du parc informatique""; title: meta_description -> accepted score=65 value=""Marché de prestations de maintenance d'assistance et d'infogérance du parc informatique, réseau et télécom de l'EPPGHV""; buyer: company_link -> accepted score=70 value='Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV)'; buyer: nom_officiel_pattern -> accepted score=40 value='EPPGHV'",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
MO-9595379,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,-,-,-,Ville de Paris,,Ville de Paris,75 - VILLE DE PARIS,,75 - VILLE DE PARIS,75 - VILLE DE PARIS,2026-06-09 00:00:00,,2026-06-09 00:00:00,-,-,8500000.0,,8500000.0,-,Marchés Online,new,ao-9595379-1.html,,"title: h1_title_avis -> accepted score=80 value=""Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP""; title: title_tag -> accepted score=70 value=""Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP""; title: meta_description -> accepted score=65 value=""Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP""; buyer: company_link -> accepted score=65 value='Ville de Paris'; buyer: nom_officiel_pattern -> accepted score=65 value='VILLE de PARIS - DFA - SDA'",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
MO-9595420,Tierce maintenance d'exploitation et de services des agences de l'eau,-,-,-,Agence de l'Eau Seine Normandie,,Agence de l'Eau Seine Normandie,92 - AGENCE DE L'EAU SEINE NORMANDIE,,92 - AGENCE DE L'EAU SEINE NORMANDIE,92 - AGENCE DE L'EAU SEINE NORMANDIE,2026-05-26 00:00:00,,2026-05-26 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9595420-1.html,,"title: h1_title_avis -> accepted score=80 value=""Tierce maintenance d'exploitation et de services des agences de l'eau""; title: title_tag -> accepted score=70 value=""Tierce maintenance d'exploitation et de services des agences de l'eau""; title: meta_description -> accepted score=65 value=""Tierce maintenance d'exploitation et de services des agences de l'eau""; buyer: company_link -> accepted score=70 value=""Agence de l'Eau Seine Normandie""; buyer: nom_officiel_pattern -> accepted score=65 value=""Agence de l'eau Seine Normandie""",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
MO-9596025,Prestations de services informatiques pour le développement et la maintenance des outils informatiques,-,-,-,GCS UNIHA,,GCS UNIHA,69 - LYON,,69 - LYON,69 - LYON,2026-06-02 00:00:00,,2026-06-02 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9596025-2.html,,title: h1_title_avis -> accepted score=80 value='Prestations de services informatiques pour le développement et la maintenance des outils informatiques'; title: title_tag -> accepted score=70 value='Prestations de services informatiques pour le développement et la maintenance des outils informatiques'; title: meta_description -> accepted score=65 value='Prestations de services informatiques pour le développement et la maintenance des outils informatiques'; buyer: company_link -> accepted score=55 value='GCS UNIHA'; buyer: nom_officiel_pattern -> accepted score=50 value='GCS-UNIHA',-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
MO-9596601,"Fourniture et intégration de matériels et logiciels informatiques, services d'infogérance et de cybersécurité",-,-,-,SPL SEMEA,,SPL SEMEA,16 - ANGOULEME,,16 - ANGOULEME,16 - ANGOULEME,2026-06-02 00:00:00,,2026-06-02 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9596601-1.html,,"title: h1_title_avis -> accepted score=80 value=""Fourniture et intégration de matériels et logiciels informatiques, services d'infogérance et de cybersécurité""; title: title_tag -> accepted score=70 value='Fourniture et intégration de matériels et logiciels informatiques'; title: meta_description -> accepted score=65 value=""Fourniture et intégration de matériels et logiciels informatiques, services d'infogérance et de cybersécurité""; buyer: company_link -> accepted score=55 value='SPL SEMEA'; buyer: nom_officiel_pattern -> accepted score=50 value='SPL SEMEA'",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
MO-9596814,Prestations logicielles relatives aux automates industriels pour SOLEIL II,-,-,-,Synchrotron Soleil,,Synchrotron Soleil,91 - SYNCHROTRON SOLEIL,,91 - SYNCHROTRON SOLEIL,91 - SYNCHROTRON SOLEIL,2026-06-01 00:00:00,,2026-06-01 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9596814-1.html,,title: h1_title_avis -> accepted score=80 value='Prestations logicielles relatives aux automates industriels pour SOLEIL II'; title: title_tag -> accepted score=70 value='Prestations logicielles relatives aux automates industriels pour SOLEIL II'; title: meta_description -> accepted score=65 value='Prestations logicielles relatives aux automates industriels pour SOLEIL II'; buyer: company_link -> accepted score=55 value='Synchrotron Soleil'; buyer: nom_officiel_pattern -> accepted score=50 value='SYNCHROTRON SOLEIL',-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
