Référence,Intitulé synthétique,Type d'AO,Type,Fonction publique,Acheteur_auto,Acheteur_manual,Acheteur_clean,Localisation_auto,Localisation_manual,Localisation,Localisation_clean,Date_limite_auto,Date_limite_manual,Date limite de remise des offres,Durée initiale du marché,Reconduction(s),Estimation_auto,Estimation_manual,Estimation du marché,URL source HTTPS,Plateforme,match_status,match_source,review_needed,extraction_notes,Colonne 1,Colonne 2,Column 29,source_type,categorie_regime,preuve_regime,typologie_marche_verifiee,preuve_typologie,qualite_preuve_procedure,conflit_detecte,type_conflit,preuve_joue_detectee,source_preuve_joue,famille_procedure_deduite,niveau_procedure_deduit,justification_juridique_courte,seuil_formalise_applicable,code_couleur_procedure,type_acheteur_source,fonction_publique_source,llm_classification,llm_justification
DAF_2025_001001,Prestations d’assistance et d’expertise pour migration et déploiement des SI vers le cloud au profit du Centre Spécialisé Cloud du MINARM (référence interne DAF).,Procédure négociée,etat,etat,"Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM, France entière.",,Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM,Val-de-Marne,,Val-de-Marne,France entière,26/05/2026,,26/05/2026,66 mois,Cf règlement de la consultation,18.02 M€ HT,,18.02 M€ HT,https://www.francemarches.com/appel-offre/37ao26181581260520263294-2026-prestations-assistance-expertise,SCRAPPING REDPOINT,matched,37ao26181581260520263294-2026-prestations-assistance-expertise.html,,,,,,-,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
3/boamp/2640079,"Mise à disposition, adaptation et maintenance du système d'information financière destiné à la gestion budgétaire et comptable de la HAS, organisme en comptabilité budgétaire publique.",-,etablissement_public,etat,Haute Autorité de Santé,,Haute Autorité de Santé,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2640079-2026-mise-disposition-adaptation.html,,"[2026-05-15 17:34:54] title: weborama_from_3 → 'Mise à disposition, adaptation et maintenance du s...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%)",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
3/boamp/2641049,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l'information et de la communication,-,etat,etat,Direction Générale des Finances Publiques,,Direction Générale des Finances Publiques,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2641049-2026-assistance-externe-pour.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Assistance externe pour la conduite de consultatio...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
3/boamp/2641974,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,-,collectivite_territoriale,territoriale,VILLE de PARIS - DFA - SDA,,VILLE de PARIS - DFA - SDA,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2641974-2026-maintien-condition-operationnelle.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Maintien en condition opérationnelle et l'accompag...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
3/boamp/2642071,ASSISTANCE EN INGENIERIE DE COORDINATION DE PROJETS DATA \\\/ INGENIERIE D'EXPERTISE DATA AU SEIN DE LA DIRECTION DU SYSTEME D'INFORMATION DE LA REGION NOUVELLE-AQUITAINE,-,collectivite_territoriale,territoriale,Région Nouvelle-Aquitaine,,Région Nouvelle-Aquitaine,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2642071-2026-assistance-ingenierie-coordination.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'ASSISTANCE EN INGENIERIE DE COORDINATION DE PROJET...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
3/boamp/2642106,Acquisition et mise en œuvre d'une solution ERP en mode SaaS avec site web marchand et application mobile,-,inconnu,hors_fonction_publique,Association ASF Vacances,,Association ASF Vacances,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2642106-2026-acquisition-mise-oeuvre.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Acquisition et mise en œuvre d'une solution ERP en...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,inconnu,"L'ASF Vacances est une association, ce qui signifie qu'elle n'exerce pas de fonction publique"
3/boamp/2642682,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,-,etablissement_public,territoriale,SICIO,,SICIO,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2642682-2026-renouvellement-maintenance-serveurs.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Renouvellement et maintenance des serveurs de sauv...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,"L'entité SICIO est un syndicat intercommunal, il relève donc de la fonction territoriale"
3/boamp/2643374,REFONTE DU SITE INTERNET DE L'ACADEMIE FRANCAISE - HEBERGEMENT - MAINTENANCE,-,etablissement_public,etat,ACADEMIE FRANCAISE,,ACADEMIE FRANCAISE,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2643374-2026-refonte-site-internet.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'REFONTE DU SITE INTERNET DE L'ACADEMIE FRANCAISE -...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
3/boamp/2643609,Prestations de services informatiques pour le développement et la maintenance des outils informatiques du GCS UniHA,-,etablissement_public,hospitaliere,GCS-UNIHA,,GCS-UNIHA,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2643609-2026-prestations-services-informatiques.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Prestations de services informatiques pour le déve...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
3/boamp/2644098,"Prestations de conseil, de collecte, de développement, d'exploitation de données pour le Data Office",-,inconnu,hors_fonction_publique,Organisation qui passe un marché subventionné par un pouvoir adjudicateur,,Organisation qui passe un marché subventionné par un pouvoir adjudicateur,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2644098-2026-prestations-conseil-collecte.html,,"[2026-05-15 17:34:54] title: weborama_from_3 → 'Prestations de conseil, de collecte, de développem...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%)",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,inconnu,"L'organisation bénéficie d'une subvention, mais son statut n'est pas clairement défini"
3/boamp/2644226,"Assistance à maîtrise d'oeuvre : prestations d'expertise, de développements informatiques et d'assistance technique",-,etablissement_public,etat,INSTITUT FRANCAIS DUCHEVAL ET DE L'EQUITATION,,INSTITUT FRANCAIS DUCHEVAL ET DE L'EQUITATION,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2644226-2026-assistance-maitrise-oeuvre.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Assistance à maîtrise d'oeuvre : prestations d'exp...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
3/boamp/2644837,TMA - TME DU SYSTEME D'INFORMATION DU DPSM,-,etablissement_public,etat,Bureau de Recherche en Géologie Minière (BRGM),,Bureau de Recherche en Géologie Minière (BRGM),-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2644837-2026-systeme-information-dpsm.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'TMA - TME DU SYSTEME D'INFORMATION DU DPSM'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
3/boamp/2646966,Le présent marché a pour objet des prestations de maintien en condition opérationnelle de l'architecture technique de stockage de données et virtualisation de la HAS et des prestations associées.,-,etat,hors_fonction_publique,2026-04,,2026-04,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2646966-2026-present-marche-pour?q=72200000.html,,[2026-05-15 17:34:55] title: weborama_from_3 → 'Le présent marché a pour objet des prestations de ...'; [2026-05-15 17:34:55] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etat,"Aucune fonction publique définie, mais peut s'agir d'un acheteur de l'Etat"
3/boamp/2647530,MISSIONS D'INFOGERANCE DE SYSTEMES D'INFORMATION,-,collectivite_territoriale,territoriale,Syndicat des énergies et de l'aménagement numérique de la Haute-Savoie (SYANE),,Syndicat des énergies et de l'aménagement numérique de la Haute-Savoie (SYANE),-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2647530-2026-missions-infogerance-systemes?q=72200000.html,,[2026-05-15 17:34:55] title: weborama_from_3 → 'MISSIONS D'INFOGERANCE DE SYSTEMES D'INFORMATION'; [2026-05-15 17:34:55] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,collectivite_territoriale,"Syndicat intercommunal ayant pour vocation les énergies et l'aménagement numérique, relevant de la collectivité territoriale"
3/boamp/2647639,MIse en place d'un outil conversationnel (chatbot).,-,etablissement_public,territoriale,Tribunal admnistratif Cergy-Pontoise,,Tribunal admnistratif Cergy-Pontoise,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2647639-2026-mise-place-outil?q=72200000.html,,[2026-05-15 17:34:55] title: weborama_from_3 → 'MIse en place d'un outil conversationnel (chatbot)...'; [2026-05-15 17:34:55] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,"En tant que tribunal administratif, il dépend de la fonction publique territoriale mais plus précisément de l'Etat"
3/boamp/2648308,Prestation IT : Réseau \\\/ Cloud \\\/ Sécurité,-,collectivite_territoriale,territoriale,SPL P.A.R.S.E.F,,SPL P.A.R.S.E.F,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2648308-2026-prestation-reseau-cloud?q=72200000.html,,[2026-05-15 17:34:55] title: weborama_from_3 → 'Prestation IT : Réseau \\\/ Cloud \\\/ Sécurité'; [2026-05-15 17:34:55] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
MO-9589316,Infogérance du système d'information de l'INSEAMM.,-,etablissement_public,etat,ESADMM,,ESADMM,13 - MARSEILLE,,13 - MARSEILLE,13 - MARSEILLE,2026-05-29 00:00:00,,2026-05-29 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9589316-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_4_candidates → 'Infogérance du système d'information de l'INSEAMM.'; [2026-05-15 17:34:55] buyer: company_link_from_2_candidates → 'ESADMM'; [2026-05-15 17:34:55] location: info_block → '13 - MARSEILLE'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '29/05/2026'; [2026-05-15 17:34:55] cpv: found_4_codes → '20002920,72500000,72500000'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Procédure adaptée ouverte'; [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
MO-9591946,Prestations d'assistance et d'expertise pour la migration et le déploiement des systèmes d'information vers le cloud au profit du Centre Spécialisé Cloud du MINARM,-,etat,etat,MINDEF/DIRISI/Bureau Marchés.,,MINDEF/DIRISI/Bureau Marchés.,Le Kremlin-Bicêtre (94270) - Val-de-Marne ( FR107 ),,Le Kremlin-Bicêtre (94270) - Val-de-Marne ( FR107 ),Le Kremlin-Bicêtre (94270) - Val-de-Marne ( FR107 ),2026-05-26 00:00:00,,2026-05-26 00:00:00,-,-,18025000.0,,18025000.0,-,Marchés Online,new,ao-9591946-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_2_candidates → 'Prestations d'assistance et d'expertise pour la mi...'; [2026-05-15 17:34:55] buyer: company_link_from_3_candidates → 'MINDEF/DIRISI/Bureau Marchés.'; [2026-05-15 17:34:55] location: section_5_lieu → 'Le Kremlin-Bicêtre (94270) - Val-de-Marne ( FR107 ...'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '26/05/2026'; [2026-05-15 17:34:55] cpv: found_7_codes → '32786617,72220000,72220000'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Négociée avec publication préalable d'un appel à l...'; [2026-05-15 17:34:55] contract_nature: section_2_or_5 → 'Services'; [2026-05-15 17:34:55] duree_mois: section_5_1_3_structured → '66 mois = 66 mois'; [2026-05-15 17:34:55] estimation_eur: section_2_1_3_global_fallback → '18025000 EUR'; [2026-05-15 17:34:55] Lots: LOT-0001 (66 mois); [2026-05-15 17:34:55] Valeur globale (Section 2.1.3): 18025000 EUR; [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
MO-9592936,"Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités.",-,etablissement_public,hors_fonction_publique,Gaz Electricité de Grenoble,,Gaz Electricité de Grenoble,Grenoble (38042) - Isère (FRK24),,Grenoble (38042) - Isère (FRK24),Grenoble (38042) - Isère (FRK24),2026-05-26 00:00:00,,2026-05-26 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9592936-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_4_candidates → 'Fourniture, mise en oeuvre d'un Security Operation...'; [2026-05-15 17:34:55] buyer: company_link_from_2_candidates → 'Gaz Electricité de Grenoble'; [2026-05-15 17:34:55] location: section_5_lieu → 'Grenoble (38042) - Isère (FRK24)'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '26/05/2026'; [2026-05-15 17:34:55] cpv: found_14_codes → '81857697,72222300,72222300'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Négociée avec publication préalable d'un appel à l...'; [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,"Entreprise d'électricité, non une collectivité territoriale mais un établissement public à caractère industriel"
MO-9594452,"Marché de prestations de maintenance d'assistance et d'infogérance du parc informatique, réseau et télécom de l'EPPGHV..",-,etablissement_public,etat,Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV),,Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV),Paris (75019) - Paris ( FR101 ),,Paris (75019) - Paris ( FR101 ),Paris (75019) - Paris ( FR101 ),2026-06-01 00:00:00,,2026-06-01 00:00:00,-,-,660000.0,,660000.0,-,Marchés Online,new,ao-9594452-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_4_candidates → 'Marché de prestations de maintenance d'assistance ...'; [2026-05-15 17:34:55] buyer: company_link_from_4_candidates → 'Etablissement Public du Parc et de la Grande Halle...'; [2026-05-15 17:34:55] fonction_publique: forme_droit_public → 'etat'; [2026-05-15 17:34:55] location: section_5_lieu → 'Paris (75019) - Paris ( FR101 )'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '01/06/2026'; [2026-05-15 17:34:55] cpv: found_12_codes → '72500000,72610000,72611000'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Ouverte'; [2026-05-15 17:34:55] contract_nature: section_2_or_5 → 'Services'; [2026-05-15 17:34:55] duree_mois: section_5_1_3_structured → '4 ans = 48 mois'; [2026-05-15 17:34:55] estimation_eur: section_5_1_5_valeur_estimee → '660000 EUR'; [2026-05-15 17:34:55] Lots: LOT-0001 (4 ans) est=660000EUR max=160000EUR; [2026-05-15 17:34:55] Valeur estimée: 660000 EUR; [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
MO-9595379,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,-,collectivite_territoriale,territoriale,Ville de Paris,,Ville de Paris,PARIS (75013) - Paris ( FR101 ),,PARIS (75013) - Paris ( FR101 ),PARIS (75013) - Paris ( FR101 ),2026-06-09 00:00:00,,2026-06-09 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9595379-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_3_candidates → 'Maintien en condition opérationnelle et l'accompag...'; [2026-05-15 17:34:55] buyer: company_link_from_4_candidates → 'Ville de Paris'; [2026-05-15 17:34:55] location: section_5_lieu → 'PARIS (75013) - Paris ( FR101 )'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '09/06/2026'; [2026-05-15 17:34:55] cpv: found_5_codes → '72250000,72250000,21750001'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Ouverte'; [2026-05-15 17:34:55] contract_nature: section_2_or_5 → 'Services'; [2026-05-15 17:34:55] duree_mois: section_5_1_3_structured → '48 mois = 48 mois'; [2026-05-15 17:34:55] Lots: LOT-0001 (48 mois); [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
MO-9595420,Tierce maintenance d'exploitation et de services des agences de l'eau.,-,etablissement_public,etat,Agence de l'Eau Seine Normandie,,Agence de l'Eau Seine Normandie,Courbevoie (92416) - Hauts-de-Seine ( FR105 ),,Courbevoie (92416) - Hauts-de-Seine ( FR105 ),Courbevoie (92416) - Hauts-de-Seine ( FR105 ),2026-05-26 00:00:00,,2026-05-26 00:00:00,-,-,25000000.0,,25000000.0,-,Marchés Online,new,ao-9595420-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_4_candidates → 'Tierce maintenance d'exploitation et de services d...'; [2026-05-15 17:34:55] buyer: company_link_from_4_candidates → 'Agence de l'Eau Seine Normandie'; [2026-05-15 17:34:55] fonction_publique: forme_droit_public → 'etat'; [2026-05-15 17:34:55] location: section_5_lieu → 'Courbevoie (92416) - Hauts-de-Seine ( FR105 )'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '26/05/2026'; [2026-05-15 17:34:55] cpv: found_7_codes → '72250000,72514000,72250000'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Négociée avec publication préalable d'un appel à l...'; [2026-05-15 17:34:55] contract_nature: section_2_or_5 → 'Services'; [2026-05-15 17:34:55] estimation_eur: section_2_1_3_global → '25000000 EUR'; [2026-05-15 17:34:55] Lots: LOT-0001 max=25000000EUR; [2026-05-15 17:34:55] Valeur globale accord-cadre: 25000000 EUR; [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
MO-9596025,Prestations de services informatiques pour le développement et la maintenance des outils informatiques.,-,etablissement_public,hospitaliere,GCS UNIHA,,GCS UNIHA,LYON (69003) - Rhône ( FRK26 ),,LYON (69003) - Rhône ( FRK26 ),LYON (69003) - Rhône ( FRK26 ),2026-06-02 00:00:00,,2026-06-02 00:00:00,-,-,900000.0,,900000.0,-,Marchés Online,new,ao-9596025-2.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_4_candidates → 'Prestations de services informatiques pour le déve...'; [2026-05-15 17:34:55] buyer: company_link_from_4_candidates → 'GCS UNIHA'; [2026-05-15 17:34:55] fonction_publique: activite_sante → 'hospitaliere'; [2026-05-15 17:34:55] location: section_5_lieu → 'LYON (69003) - Rhône ( FRK26 )'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '02/06/2026'; [2026-05-15 17:34:55] cpv: found_9_codes → '33011143,72200000,72261000'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Ouverte'; [2026-05-15 17:34:55] contract_nature: section_2_or_5 → 'Services'; [2026-05-15 17:34:55] duree_mois: section_5_1_3_structured → '4 ans = 48 mois'; [2026-05-15 17:34:55] estimation_eur: section_2_1_3_global → '900000 EUR'; [2026-05-15 17:34:55] Lots: LOT-0001 (4 ans) max=400000EUR; LOT-0002 (4 ans) max=500000EUR; [2026-05-15 17:34:55] Valeur globale accord-cadre: 900000 EUR; [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
MO-9596601,"Fourniture et intégration de matériels et logiciels informatiques, services d'infogérance et de cybersécurité.",-,collectivite_territoriale,territoriale,SPL SEMEA,,SPL SEMEA,Angouleme (16000) - Charente ( FRI31 ),,Angouleme (16000) - Charente ( FRI31 ),Angouleme (16000) - Charente ( FRI31 ),2026-06-02 00:00:00,,2026-06-02 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9596601-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_4_candidates → 'Fourniture et intégration de matériels et logiciel...'; [2026-05-15 17:34:55] buyer: company_link_from_2_candidates → 'SPL SEMEA'; [2026-05-15 17:34:55] location: section_5_lieu → 'Angouleme (16000) - Charente ( FRI31 )'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '02/06/2026'; [2026-05-15 17:34:55] cpv: found_14_codes → '72500000,72315200,72700000'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Négociée avec publication préalable d'un appel à l...'; [2026-05-15 17:34:55] contract_nature: section_2_or_5 → 'Services'; [2026-05-15 17:34:55] Lots: LOT-0000; [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
MO-9596814,Prestations logicielles relatives aux automates industriels pour SOLEIL II.,-,etablissement_public,etat,Synchrotron Soleil,,Synchrotron Soleil,SAINT-AUBIN (91190) - Essonne ( FR104 ),,SAINT-AUBIN (91190) - Essonne ( FR104 ),SAINT-AUBIN (91190) - Essonne ( FR104 ),2026-06-01 00:00:00,,2026-06-01 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9596814-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_4_candidates → 'Prestations logicielles relatives aux automates in...'; [2026-05-15 17:34:55] buyer: company_link_from_4_candidates → 'Synchrotron Soleil'; [2026-05-15 17:34:55] location: section_5_lieu → 'SAINT-AUBIN (91190) - Essonne ( FR104 )'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '01/06/2026'; [2026-05-15 17:34:55] cpv: found_11_codes → '72600000,48100000,72600000'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Ouverte'; [2026-05-15 17:34:55] contract_nature: section_2_or_5 → 'Services'; [2026-05-15 17:34:55] duree_mois: section_5_1_3_structured → '12 mois = 12 mois'; [2026-05-15 17:34:55] Lots: LOT-0001 (12 mois); LOT-0002 (6 mois); LOT-0003 (6 mois); [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
