reference,titre,acheteur,type_acheteur,fonction_publique,procedure_type,famille_procedure_deduite,typologie_marche_verifiee,seuil_formalise_applicable,montant_estime,date_limite_remise_offres,url_marche,fichier_source_html,plateforme_source,duree,renouvellements,localisation,cpv_principal,cpv_secondaires,ccag_type,verification_requise,raisons_verification,notes_verification,qualite_preuve_procedure,conflit_detecte,type_conflit,categorie_regime,preuve_regime,preuve_typologie,preuve_joue_detectee,source_preuve_joue,justification_juridique_courte,code_couleur_procedure,niveau_procedure_deduit,url_provenance,type_marche,audit_verdict,audit_contamination_effective,audit_risque,audit_zones_annexes,audit_notes
DAF_2025_001001,Prestations d’assistance et d’expertise pour migration et déploiement des SI vers le cloud au profit du Centre Spécialisé Cloud du MINARM (référence interne DAF).,"Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM, France entière.",etat,etat,MAPA,INDETERMINE,services,,18.02 M€ HT,26/05/2026,https://www.francemarches.com/appel-offre/37ao26181581260520263294-2026-prestations-assistance-expertise,37ao26181581260520263294-2026-prestations-assistance-expertise.html,-,,,Val-de-Marne,26052026,26052026|72220000,tic,False,,,EXPLICITE,non,,defense_securite,Marqueur explicite: 'ministère des armées',type_marche='services'; CCAG prestations/services; titre contient 'prestation',non,,Régime défense/sécurité ; procédure insuffisamment décrite.,INDETERMINE,INDETERMINE,source_url,services,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
DGFIP-DRS-2500077,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l’information et de la communication.,Direction Générale des Finances Publiques,etat,etat,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,140000,400000 EUR,2026-06-04 17:00:00,,26-41049.html,BOAMP_XML,48.0,,Montreuil (93186),72220000,72220000,,True,ccag_type_manquant | url_marche_manquante,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'assistance',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,missing,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Structure BOAMP - conteneur main isolé
MO-9589316,Infogérance du système d'information de l'INSEAMM.,ESADMM,etablissement_public,etat,MAPA,MAPA_SOUS_SEUIL,services,140000,,2026-05-29 00:00:00,https://www.marchesonline.com/appels-offres/avis/infogerance-du-systeme-d-information-de-l-inseamm/ao-9589316-1,ao-9589316-1.html,MARCHES_ONLINE,,,13 - MARSEILLE,72500000,72500000|15323409|00590169|00650699,tic,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'infogérance',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine",Sélecteurs ciblent #print_area_* - extraction isolée correctement
MO-9591946,Prestations d'assistance et d'expertise pour la migration et le déploiement des systèmes d'information vers le cloud au profit du Centre Spécialisé Cloud du MINARM,MINDEF/DIRISI/Bureau Marchés.,etat,etat,MAPA,INDETERMINE,services,,18025000 EUR,2026-05-26 00:00:00,https://www.marchesonline.com/appels-offres/avis/prestations-d-assistance-et-d-expertise-pour-la-migrati/ao-9591946-1,ao-9591946-1.html,MARCHES_ONLINE,66.0,,94 - MINISTERE DES ARMEES,72220000,72220000|15326176|00590169|00650699,tic,False,,,EXPLICITE,non,,defense_securite,Marqueur explicite: 'dirisi',type_marche='services'; CCAG prestations/services; titre contient 'prestation',non,,Régime défense/sécurité ; procédure insuffisamment décrite.,INDETERMINE,INDETERMINE,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Date limite utilise regex globale - recommandé: scoper à #print_area_info
MO-9592936,"Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités.",Gaz Electricité de Grenoble,inconnu,inconnue,MAPA,MAPA_SOUS_SEUIL,fournitures,,,2026-05-26 00:00:00,https://www.marchesonline.com/appels-offres/avis/fourniture-mise-en-oeuvre-d-un-security-operation-cent/ao-9592936-1,ao-9592936-1.html,MARCHES_ONLINE,48.0,4 reconduction(s),38 - GRENOBLE,72222300,72222300|72500000|15326779|00590169|00650699,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'fourniture',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Extraction via #print_area_* - isolation correcte
MO-9595379,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,Ville de Paris,collectivite_territoriale,territoriale,MAPA,MAPA_SOUS_SEUIL,services,216000,,2026-06-09 00:00:00,https://www.marchesonline.com/appels-offres/avis/maintien-en-condition-operationnelle-et-l-accompagneme/ao-9595379-1,ao-9595379-1.html,MARCHES_ONLINE,48.0,,75 - VILLE DE PARIS,72250000,72250000|15329441|00590169|00650699,,True,ccag_type_manquant,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,titre contient 'service',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Extraction isolée au conteneur principal
MO-9595420,Tierce maintenance d'exploitation et de services des agences de l'eau.,Agence de l'Eau Seine Normandie,etablissement_public,etat,MAPA,MAPA_SOUS_SEUIL,services,140000,25000000 EUR,2026-05-26 00:00:00,https://www.marchesonline.com/appels-offres/avis/tierce-maintenance-d-exploitation-et-de-services-des-ag/ao-9595420-1,ao-9595420-1.html,MARCHES_ONLINE,,,92 - AGENCE DE L'EAU SEINE NORMANDIE,72250000,72250000|72514000|15329482|00590169|00650699,,True,ccag_type_manquant,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,titre contient 'service',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Sélecteurs ciblent #print_area_*
MO-9596025,Prestations de services informatiques pour le développement et la maintenance des outils informatiques.,GCS UNIHA,etablissement_public,hospitaliere,MAPA,MAPA_SOUS_SEUIL,services,216000,900000 EUR,2026-06-02 00:00:00,https://www.marchesonline.com/appels-offres/avis/prestations-de-services-informatiques-pour-le-developp/ao-9596025-2,ao-9596025-2.html,MARCHES_ONLINE,48.0,,69 - LYON,72200000,72200000|72261000|72262000|15331741|00590169|00650699,prestations_intellectuelles,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'service',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Extraction correctement scoppée
MO-9596601,"Fourniture et intégration de matériels et logiciels informatiques, services d'infogérance et de cybersécurité.",SPL SEMEA,collectivite_territoriale,territoriale,MAPA,MAPA_SOUS_SEUIL,fournitures,216000,,2026-06-02 00:00:00,https://www.marchesonline.com/appels-offres/avis/fourniture-et-integration-de-materiels-et-logiciels-i/ao-9596601-1,ao-9596601-1.html,MARCHES_ONLINE,,"L'acheteur se réserve le droit d'effectuer des achats supplémentaires auprès du contractant, comme décrit ici : L'accord",16 - ANGOULEME,72500000,72500000|72315200|72700000|15330787|00590169|00650699,tic,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'fourniture'; titre contient 'service',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Isolation au conteneur principal
MO-9596814,Prestations logicielles relatives aux automates industriels pour SOLEIL II.,Synchrotron Soleil,etablissement_public,etat,MAPA,MAPA_SOUS_SEUIL,fournitures,140000,,2026-06-01 00:00:00,https://www.marchesonline.com/appels-offres/avis/prestations-logicielles-relatives-aux-automates-industr/ao-9596814-1,ao-9596814-1.html,MARCHES_ONLINE,12.0,,91 - SYNCHROTRON SOLEIL,72600000,72600000|48100000|15330912|00590169|00650699,prestations_intellectuelles,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'logiciel'; titre contient 'prestation',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Sélecteurs DOM spécifiques
MO-9596821,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées.,SICIO,inconnu,inconnue,MAPA,MAPA_SOUS_SEUIL,services,,800000 EUR,2026-06-04 00:00:00,https://www.marchesonline.com/appels-offres/avis/renouvellement-et-maintenance-des-serveurs-de-sauvegard/ao-9596821-1,ao-9596821-1.html,MARCHES_ONLINE,48.0,,94 - SICIO,72250000,72250000|15330919|00590169|00650699,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='fournitures'; titre contient 'serveur'; titre contient 'prestation',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,fournitures,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Extraction via IDs spécifiques
MO-9597280,"Fourniture, mise en oeuvre et maintien en condition opérationnelle de l'infrastructure informatique de CMC.",Centre Morbihan Communauté,collectivite_territoriale,territoriale,MAPA,MAPA_SOUS_SEUIL,fournitures,216000,450000 EUR,2026-06-02 00:00:00,https://www.marchesonline.com/appels-offres/avis/fourniture-mise-en-oeuvre-et-maintien-en-condition-op/ao-9597280-1,ao-9597280-1.html,MARCHES_ONLINE,48.0,,56 - CC CENTRE MORBIHAN,72222300,72222300|48000000|72250000|15331955|00590169|00650699,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'fourniture',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Isolation structurelle correcte
MO-9597894,"Renouvellement du système d'information, virtualisation de serveurs, plateforme de stockage et système de sauvegarde",Le Muretain Agglo,collectivite_territoriale,territoriale,MAPA,MAPA_SOUS_SEUIL,fournitures,216000,,2026-06-02 00:00:00,https://www.marchesonline.com/appels-offres/avis/renouvellement-du-systeme-d-information-virtualisatio/ao-9597894-1,ao-9597894-1.html,MARCHES_ONLINE,60.0,,31 - MURET,48800000,48800000|48822000|51611100|58005186|15332032|00590169|00650699,fournitures_courantes_services,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG fournitures; titre contient 'serveur',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Conteneur principal identifié et utilisé
MO-9598475,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure),Compagnie Nationale du Rhône,inconnu,hors_fonction_publique,MAPA,MAPA_SOUS_SEUIL,services,,"5000000,00 EUR",2026-06-10 00:00:00,https://www.marchesonline.com/appels-offres/avis/accord-cadre-infrastructure-hyperconvergee-et-vdi-vir/ao-9598475-1,ao-9598475-1.html,MARCHES_ONLINE,96.0,3 reconduction(s),69 - LYON,72600000,72600000|72263000|48820000|15332602|00590169|00650699,prestations_intellectuelles,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services' (pas d'indice titre),non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Sélecteurs ciblant #print_area_*
MO-9599071,"Prestations de support, infogérance et supervision pour les Services Numériques Éducatifs, et pour les environnements de travail, Data Centers, Infrastructures, Réseaux, Pare-Feux et Téléphonie de la Région Grand-Est, ainsi que de stockage ...",Région Grand Est,collectivite_territoriale,territoriale,MAPA,MAPA_SOUS_SEUIL,services,216000,6500000 EUR,2026-06-18 00:00:00,https://www.marchesonline.com/appels-offres/avis/prestations-de-support-infogerance-et-supervision-pou/ao-9599071-1,ao-9599071-1.html,MARCHES_ONLINE,24.0,Description : Le guichet de maintenance « IRIS » est au centre de la mission confiée au titulaire. L'objectif du lot 1 e,67 - REGION GRAND EST,72253000,72253000|63120000|72250000|72600000|15333089|00590169|00650699,tic,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'service',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Extraction isolée correctement
MO-9599869,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre.",GHT de la Nièvre - Centre hospitalier Pierre Beregovoy,etablissement_public,hospitaliere,MAPA,MAPA_SOUS_SEUIL,fournitures,216000,,2026-06-05 00:00:00,https://www.marchesonline.com/appels-offres/avis/maintien-en-condition-operationnelle-de-l-infrastructu/ao-9599869-1,ao-9599869-1.html,MARCHES_ONLINE,,,58 - NEVERS,72500000,72500000|15333941|00590169|00650699,fournitures_courantes_services,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='fournitures'; CCAG fournitures; titre contient 'serveur'; titre contient 'maintenance',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,fournitures,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Isolation au conteneur principal
RFI_CRM_2026-02,"RFI ""Outil de connaissance et de gestion des relations extérieures du CNRS""",EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest,etablissement_public,etat,inconnu,INDETERMINE,indetermine,,,2026-06-15 12:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2998043?orgAcronyme=f2h,2998043?orgAcronyme=f2h.html,PLACE_NUMERIC,,,"(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne",72212445,72212445|47841249,,True,ccag_type_manquant,,ABSENTE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,Aucun indice typologique clair,non,,Aucune preuve de procédure détectée.,INDETERMINE,INDETERMINE,fallback_place,,PROPRE,non,faible,,Structure propre
Shom_26AC07,Maintien en conditions opérationnelles et de sécurité du Digital Workplace Odyssée du Shom,MINARM / ESTM / EPA / SHOM - Service hydrographique et océanographique de la Marine,etablissement_public,etat,inconnu,INDETERMINE,services,140000,,2026-06-18 09:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2956468?orgAcronyme=g7h,2956468?orgAcronyme=g7h.html,PLACE_NUMERIC,,,(29) Finistère,72267000,72267000|72200000|98548097,tic,False,,,ABSENTE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services' (pas d'indice titre),non,,Aucune preuve de procédure détectée.,INDETERMINE,INDETERMINE,fallback_place,services,PROPRE,non,faible,,Structure PLACE sans zones annexes
