Acheteur_auto,Acheteur_clean,Acheteur_manual,Colonne 1,Colonne 2,Column 29,Date limite de remise des offres,Date_limite_auto,Date_limite_manual,Durée initiale du marché,Estimation (devise),Estimation du marché,Estimation_auto,Estimation_manual,Fonction publique,Intitulé synthétique,Localisation,Localisation_auto,Localisation_clean,Localisation_manual,Plateforme,Reconduction(s),Référence,Type,Type d'AO,URL source HTTPS,annonce_numero,conflits_detectes,cpv_principal,cpv_supplementaires,criteres_attribution,departements_publication,duree_reelle,extraction_notes,lots_detail,match_source,match_status,niveau_confiance,nombre_lots,options_reconduction,review_needed,source_type
Ville de Paris,Ville de Paris,,-,-,-,2026-06-09 00:00:00,2026-06-09 00:00:00,,-,,-,-,,-,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,PARIS (75013) - Paris ( FR101 ),PARIS (75013) - Paris ( FR101 ),PARIS (75013) - Paris ( FR101 ),,Marchés Online,-,2600517,-,-,-,,,,,,,,"[2026-05-16 02:10:41] title: h1_title_long_from_3_candidates → 'Maintien en condition opérationnelle et l'accompag...'; [2026-05-16 02:10:41] buyer: company_link_from_4_candidates → 'Ville de Paris'; [2026-05-16 02:10:41] location: section_5_lieu → 'PARIS (75013) - Paris ( FR101 )'; [2026-05-16 02:10:41] date_limite: limite_visible_%d/%m/%Y → '09/06/2026'; [2026-05-16 02:10:41] cpv: found_5_codes → '72250000,72250000,21750001'; [2026-05-16 02:10:41] procedure_type: section_2 → 'Ouverte'; [2026-05-16 02:10:41] contract_nature: section_2_or_5 → 'Services'; [2026-05-16 02:10:41] duree_mois: section_5_1_3_structured → '48 mois = 48 mois'; [2026-05-16 02:10:41] Lots: LOT-0001 (48 mois); [2026-05-16 02:10:41] Extraction partielle (completude: 67%)",,2600517.html,new,,,,,MARCHES_ONLINE
MINARM / ESTM / EPA / SHOM - Service hydrographique et océanographique de la Marine,MINARM / ESTM / EPA / SHOM - Service hydrographique et océanographique de la Marine,,-,-,-,2026-06-18 09:00:00,2026-06-18 09:00:00,,-,,-,-,,-,Maintien en conditions opérationnelles et de sécurité du Digital Workplace Odyssée du Shom,(29) Finistère,(29) Finistère,(29) Finistère,,PLACE,-,Shom_26AC07,-,-,-,,,,,,,,"[2026-05-16 02:10:41] title: extracted_from_13_candidates → 'Maintien en conditions opérationnelles et de sécur...'; [2026-05-16 02:10:41] buyer: entite_achat_selected_from_9 → 'MINARM / ESTM / EPA / SHOM - Service hydrographiqu...'; [2026-05-16 02:10:41] location: with_dept_code → '(29) Finistère'; [2026-05-16 02:10:41] date_limite: date_heure_limite_plis → '18/06/2026 09:00:00'; [2026-05-16 02:10:41] cpv: found_2_codes → '72267000,72200000'; [2026-05-16 02:10:41] Extraction réussie (completude: 100%)",,2956468?orgAcronyme=g7h.html,new,,,,,PLACE_NUMERIC
EOESRI / COMUE - UdL - COMUE &quot;Université de Lyon&quot;,EOESRI / COMUE - UdL - COMUE &quot;Université de Lyon&quot;,,-,-,-,2026-06-12 12:00:00,2026-06-12 12:00:00,,-,,-,-,,-,Fourniture d'une solution de gestion pédagogique des doctorants,(69) Rhône,(69) Rhône,(69) Rhône,,PLACE,-,A2026-018,-,-,-,,,,,,,,[2026-05-16 02:10:41] title: extracted_from_13_candidates → 'Fourniture d'une solution de gestion pédagogique d...'; [2026-05-16 02:10:41] buyer: entite_achat_selected_from_7 → 'EOESRI / COMUE - UdL - COMUE &quot;Université de L...'; [2026-05-16 02:10:41] location: with_dept_code → '(69) Rhône'; [2026-05-16 02:10:41] date_limite: date_heure_limite_plis → '12/06/2026 12:00:00'; [2026-05-16 02:10:41] cpv: found_1_codes → '72260000'; [2026-05-16 02:10:41] Extraction réussie (completude: 100%),,2986378?orgAcronyme=f2h.html,new,,,,,PLACE_NUMERIC
EOESRI / SUPELEC - Centrale SUPELEC,EOESRI / SUPELEC - Centrale SUPELEC,,-,-,-,2026-06-12 12:00:00,2026-06-12 12:00:00,,-,,-,-,,-,Réalisation d’opérations comptables et assistance fonctionnelle sur le système d’information financier et comptable SIFAC/SIFAC+ (S4/HANA SAP) de CentraleSupelec,(91) Essonne,(91) Essonne,(91) Essonne,,PLACE,-,2026-005,-,-,-,,,,,,,,"[2026-05-16 02:10:41] title: extracted_from_9_candidates → 'Réalisation d’opérations comptables et assistance ...'; [2026-05-16 02:10:41] buyer: entite_achat_selected_from_7 → 'EOESRI / SUPELEC - Centrale SUPELEC'; [2026-05-16 02:10:41] location: with_dept_code → '(91) Essonne'; [2026-05-16 02:10:41] date_limite: date_heure_limite_plis → '12/06/2026 12:00:00'; [2026-05-16 02:10:41] cpv: found_2_codes → '72212440,79211100'; [2026-05-16 02:10:41] Extraction réussie (completude: 100%)",,2987833?orgAcronyme=f2h.html,new,,,,,PLACE_NUMERIC
MJL / SG / DNUM - Direction du numérique,MJL / SG / DNUM - Direction du numérique,,-,-,-,2026-06-17 14:00:00,2026-06-17 14:00:00,,-,,-,-,,-,Accord-cadre d’assistance à maîtrise d’œuvre des applications du socle transverse,Ministère de la Justice,Ministère de la Justice,Ministère de la Justice,,PLACE,-,26_AMOE_AST,-,-,-,,,,,,,,"[2026-05-16 02:10:41] title: extracted_from_13_candidates → 'Accord-cadre d’assistance à maîtrise d’œuvre des a...'; [2026-05-16 02:10:41] buyer: entite_achat_selected_from_9 → 'MJL / SG / DNUM - Direction du numérique'; [2026-05-16 02:10:41] location: longest_candidate → 'Ministère de la Justice'; [2026-05-16 02:10:41] date_limite: date_heure_limite_plis → '17/06/2026 14:00:00'; [2026-05-16 02:10:41] cpv: found_2_codes → '72267100,72227000'; [2026-05-16 02:10:41] Extraction réussie (completude: 100%)",,2990888?orgAcronyme=d3f.html,new,,,,,PLACE_NUMERIC
"Ministère de la Transition Écologique, Ministère de la Cohésion des Territoires, Ministère de la Mer","Ministère de la Transition Écologique, Ministère de la Cohésion des Territoires, Ministère de la Mer",,-,-,-,2026-06-22 12:00:00,2026-06-22 12:00:00,,-,,-,-,,-,Assistance à maîtrise d’ouvrage pour la conception et la passation de marchés publics de développement d’outils de gestion et de visualisation de données sur l’eau sur le bassin versant Marais poitevin,"(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres","(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres","(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres",,PLACE,-,AOO_2026-02,-,-,-,,,,,,,,"[2026-05-16 02:10:41] title: extracted_from_13_candidates → 'Assistance à maîtrise d’ouvrage pour la conception...'; [2026-05-16 02:10:41] buyer: entite_achat_selected_from_9 → 'Ministère de la Transition Écologique, Ministère d...'; [2026-05-16 02:10:41] location: with_dept_code → '(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèv...'; [2026-05-16 02:10:41] date_limite: date_heure_limite_plis → '22/06/2026 12:00:00'; [2026-05-16 02:10:41] cpv: found_3_codes → '71241000,48810000,72222000'; [2026-05-16 02:10:41] Extraction réussie (completude: 100%)",,2992873?orgAcronyme=d4t.html,new,,,,,PLACE_NUMERIC
AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE,AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE,,-,-,-,2026-06-10 16:00:00,2026-06-10 16:00:00,,-,,-,-,,-,Prestations de tierce maintenance applicative (TMA) des Logiciels Systèmes Energétiques du CEA Liten,(38) Isère,(38) Isère,(38) Isère,,PLACE,-,B26-01107-LS,-,-,-,,,,,,,,[2026-05-16 02:10:41] title: extracted_from_10_candidates → 'Prestations de tierce maintenance applicative (TMA...'; [2026-05-16 02:10:41] buyer: entite_achat_selected_from_7 → 'AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE'; [2026-05-16 02:10:41] location: with_dept_code → '(38) Isère'; [2026-05-16 02:10:41] date_limite: date_heure_limite_plis → '10/06/2026 16:00:00'; [2026-05-16 02:10:41] cpv: found_1_codes → '72250000'; [2026-05-16 02:10:41] Extraction réussie (completude: 100%),,2997383?orgAcronyme=s2d.html,new,,,,,PLACE_NUMERIC
EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest,EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest,,-,-,-,2026-06-15 12:00:00,2026-06-15 12:00:00,,-,,-,-,,-,"RFI ""Outil de connaissance et de gestion des relations extérieures du CNRS""","(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne","(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne","(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne",,PLACE,-,RFI_CRM_2026-02,-,-,-,,,,,,,,"[2026-05-16 02:10:41] title: extracted_from_9_candidates → 'RFI ""Outil de connaissance et de gestion des relat...'; [2026-05-16 02:10:41] buyer: entite_achat_selected_from_7 → 'EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occi...'; [2026-05-16 02:10:41] location: with_dept_code → '(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonn...'; [2026-05-16 02:10:41] date_limite: date_heure_limite_plis → '15/06/2026 12:00:00'; [2026-05-16 02:10:41] cpv: found_1_codes → '72212445'; [2026-05-16 02:10:41] Extraction réussie (completude: 100%)",,2998043?orgAcronyme=f2h.html,new,,,,,PLACE_NUMERIC
Ville de Croissy-sur-Seine,Ville de Croissy-sur-Seine,,-,-,-,-,-,,-,EUR,-,-,,-,Infogérance du système d'information de la ville de Croissy-sur-Seine,-,-,-,,France Marchés,-,1157695,-,-,-,,,,,(obligatoire si SAD): Valeur technique - 60,,voir documents du marché.Les offres peuvent uniquement être remises électroniquement.,[2026-05-16 02:10:41] title: weborama_from_3 → 'Infogérance du système d'information de la ville d...'; [2026-05-16 02:10:41] Extraction réussie (completude: 100%),,36parisien1157695-2026-infogerance-systeme-information.html,new,,0,,,FRANCE_MARCHES
Ministère de la Justice,Ministère de la Justice,,-,-,-,-,-,,-,EUR,-,-,,-,"Cadrage, la conception, le développement, le maintien en conditions opérationnelles et de sécurité et l'assistance pour les applications composant le système d'information du Casier Judiciaire",-,-,-,,France Marchés,-,37AO26154015290520267275,-,-,-,26-32976,,72267100,"72267000, 72267100, 72267000",Description de la méthode à utiliser si la pondération ne peut être exprimée par des critères : Les critères d'attribution sont détaillés à l'article V1.2. du règlement de la consultation.,"44, 75, 80",estimée,"[2026-05-16 02:10:41] title: weborama_from_3 → 'Cadrage, la conception, le développement, le maint...'; [2026-05-16 02:10:41] Extraction réussie (completude: 100%)",Lot LOT-0001: Accord-cadre relatif à la tierce maintenance appli... (CPV 72267100),37ao26154015290520267275-2026-cadrage-conception-developpement.html,new,,1,Le présent accord-cadre est conclu pour une durée initiale de vingt-quatre (24) mois à compter de sa date de notification. il peut être reconduit deux (2à fois par périodes successives de douze (12) mois sans que sa durée n'excède quatre (4) ans.,,FRANCE_MARCHES
CNAF Établissement public,CNAF Établissement public,,-,-,-,-,-,,-,EUR,-,-,,-,"Prestations d'assistance technique, d'expertise et de conseil concernant les infrastructures, les services applicatifs et l'urbanisation du système d'information (' SI ') de la CNAF",-,-,-,,France Marchés,-,37AO26181552260520267275,-,-,-,26-39725,"References multiples: {'07_26', '2', '3', '1'}",72600000,"72600000, 72600000, 72220000, 72600000, 72220000",,75,estimée,"[2026-05-16 02:10:41] title: weborama_from_3 → 'Prestations d'assistance technique, d'expertise et...'; [2026-05-16 02:10:41] Extraction réussie (completude: 100%)",Lot LOT-0001: Assistance technique sur l'infrastructure et l'exp... (CPV 72600000),37ao26181552260520267275-2026-prestations-assistance-technique.html,new,faible,1,,,FRANCE_MARCHES
"Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM, France entière.",Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM,,,,,26/05/2026,26/05/2026,,66 mois,EUR,18.02 M€ HT,18.02 M€ HT,,Etat,Prestations d’assistance et d’expertise pour migration et déploiement des SI vers le cloud au profit du Centre Spécialisé Cloud du MINARM (référence interne DAF).,Val-de-Marne,Val-de-Marne,France entière,,SCRAPPING REDPOINT,Cf règlement de la consultation,DAF_2025_001001,Services,Procédure négociée,https://www.francemarches.com/appel-offre/37ao26181581260520263294-2026-prestations-assistance-expertise,26-39793,"References multiples: {'DAF_2025_001001', 'DAF_2025_00100_'}",72220000,72220000,,94,estimée,,Lot LOT-0001: CSC CLOUD... (CPV 72220000),37ao26181581260520263294-2026-prestations-assistance-expertise.html,matched,faible,1,,,-
Haute Autorité de Santé,Haute Autorité de Santé,,-,-,-,-,-,,-,EUR,-,-,,-,"Mise à disposition, adaptation et maintenance du système d'information financière destiné à la gestion budgétaire et comptable de la HAS, organisme en comptabilité budgétaire publique.",-,-,-,,France Marchés,-,3/boamp/2640079,-,-,-,26-40079,,72000000,"48442000, 72000000",,93,estimée,"[2026-05-16 02:10:41] title: weborama_from_3 → 'Mise à disposition, adaptation et maintenance du s...'; [2026-05-16 02:10:41] Extraction réussie (completude: 100%)","Lot LOT-0001: Mise à disposition, adaptation et maintenance du s... (CPV 72000000)",3boamp2640079-2026-mise-disposition-adaptation.html,new,,1,,,FRANCE_MARCHES
Direction Générale des Finances Publiques,Direction Générale des Finances Publiques,,-,-,-,-,-,,-,EUR,-,-,,-,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l'information et de la communication,-,-,-,,France Marchés,-,3/boamp/2641049,-,-,-,26-41049,"References multiples: {'Lot 1', 'DGFIP-DRS-2500077'}",72220000,72220000,,93,estimée,[2026-05-16 02:10:42] title: weborama_from_3 → 'Assistance externe pour la conduite de consultatio...'; [2026-05-16 02:10:42] Extraction réussie (completude: 100%),Lot LOT-0001: Assistance externe pour la conduite de consultatio... (CPV 72220000),3boamp2641049-2026-assistance-externe-pour.html,new,faible,1,,,FRANCE_MARCHES
VILLE de PARIS - DFA - SDA,VILLE de PARIS - DFA - SDA,,-,-,-,-,-,,-,EUR,-,-,,-,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,-,-,-,,France Marchés,-,3/boamp/2641974,-,-,-,26-41974,"References multiples: {'0', '2600517'}",72250000,72250000,,75,estimée,[2026-05-16 02:10:42] title: weborama_from_3 → 'Maintien en condition opérationnelle et l'accompag...'; [2026-05-16 02:10:42] Extraction réussie (completude: 100%),Lot LOT-0001: Maintien en condition opérationnelle et l'accompag... (CPV 72250000),3boamp2641974-2026-maintien-condition-operationnelle.html,new,faible,1,,,FRANCE_MARCHES
Région Nouvelle-Aquitaine,Région Nouvelle-Aquitaine,,-,-,-,-,-,,-,EUR,-,-,,-,ASSISTANCE EN INGENIERIE DE COORDINATION DE PROJETS DATA \\\/ INGENIERIE D'EXPERTISE DATA AU SEIN DE LA DIRECTION DU SYSTEME D'INFORMATION DE LA REGION NOUVELLE-AQUITAINE,-,-,-,,France Marchés,-,3/boamp/2642071,-,-,-,26-42071,"References multiples: {'2026I000E00723', '0'}",72220000,72220000,,33,"du contrat : L'accord-cadre est conclu pour une période initiale de 24 mois à compter de la date de notification du contrat. L'accord-cadre est reconduit tacitement jusqu'à son terme. Le nombre de périodes de reconduction est fixé à 1. La durée de chaque période de reconduction est de 24 mois. La durée maximale du contrat, toutes périodes confondues, est de 48 mois.",[2026-05-16 02:10:42] title: weborama_from_3 → 'ASSISTANCE EN INGENIERIE DE COORDINATION DE PROJET...'; [2026-05-16 02:10:42] Extraction réussie (completude: 100%),Lot LOT-0001: ASSISTANCE EN INGENIERIE DE COORDINATION DE PROJET... (CPV 72220000),3boamp2642071-2026-assistance-ingenierie-coordination.html,new,faible,1,,,FRANCE_MARCHES
Association ASF Vacances,Association ASF Vacances,,-,-,-,-,-,,-,EUR,-,-,,-,Acquisition et mise en œuvre d'une solution ERP en mode SaaS avec site web marchand et application mobile,-,-,-,,France Marchés,-,3/boamp/2642106,-,-,-,26-42106,"References multiples: {'202606_2', '202606_1', 'PPP1J3-88/6031/202606'}",72000000,"72000000, 72000000",,93,estimée,[2026-05-16 02:10:42] title: weborama_from_3 → 'Acquisition et mise en œuvre d'une solution ERP en...'; [2026-05-16 02:10:42] Extraction réussie (completude: 100%),Lot LOT-0001: Lot 1: A- Solution (ERP) métier : Gestion Vacances... (CPV 72000000),3boamp2642106-2026-acquisition-mise-oeuvre.html,new,faible,1,,,FRANCE_MARCHES
SICIO,SICIO,,-,-,-,-,-,,-,EUR,-,-,,-,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,-,-,-,,France Marchés,-,3/boamp/2642682,-,-,-,26-42682,"References multiples: {'2026M01 LOT 1', '2026M01 LOT 2'}; Somme lots (800.0) != global (1.025)",72250000,"72250000, 72250000",,94,estimée,[2026-05-16 02:10:42] title: weborama_from_3 → 'Renouvellement et maintenance des serveurs de sauv...'; [2026-05-16 02:10:42] Extraction réussie (completude: 100%),Lot LOT-0001: Fourniture de la plateforme de sauvegarde.... (CPV 72250000),3boamp2642682-2026-renouvellement-maintenance-serveurs.html,new,faible,1,,,FRANCE_MARCHES
ACADEMIE FRANCAISE,ACADEMIE FRANCAISE,,-,-,-,-,-,,-,EUR,-,-,,-,REFONTE DU SITE INTERNET DE L'ACADEMIE FRANCAISE - HEBERGEMENT - MAINTENANCE,-,-,-,,France Marchés,-,3/boamp/2643374,-,-,-,26-43374,,,,,"75, 77, 78, 91, 92, 93, 94, 95",du marché (en mois) :,[2026-05-16 02:10:42] title: weborama_from_3 → 'REFONTE DU SITE INTERNET DE L'ACADEMIE FRANCAISE -...'; [2026-05-16 02:10:42] Extraction réussie (completude: 100%),,3boamp2643374-2026-refonte-site-internet.html,new,,0,,,FRANCE_MARCHES
GCS-UNIHA,GCS-UNIHA,,-,-,-,-,-,,-,EUR,-,-,,-,Prestations de services informatiques pour le développement et la maintenance des outils informatiques du GCS UniHA,-,-,-,,France Marchés,-,3/boamp/2643609,-,-,-,26-43609,"References multiples: {'LOT 1', 'M_3530', 'LOT 2'}",72200000,"72261000, 72200000, 72262000, 72200000, 72262000","Cout: 40%, Technique: 60%",69,estimée,[2026-05-16 02:10:42] title: weborama_from_3 → 'Prestations de services informatiques pour le déve...'; [2026-05-16 02:10:42] Extraction réussie (completude: 100%),"Lot LOT-0001: Prestations de développement informatique Webdev, ... (CPV 72200000)",3boamp2643609-2026-prestations-services-informatiques.html,new,faible,1,,,FRANCE_MARCHES
Organisation qui passe un marché subventionné par un pouvoir adjudicateur,Organisation qui passe un marché subventionné par un pouvoir adjudicateur,,-,-,-,-,-,,-,EUR,-,-,,-,"Prestations de conseil, de collecte, de développement, d'exploitation de données pour le Data Office",-,-,-,,France Marchés,-,3/boamp/2644098,-,-,-,26-44098,,72600000,72600000,,75,estimée,"[2026-05-16 02:10:42] title: weborama_from_3 → 'Prestations de conseil, de collecte, de développem...'; [2026-05-16 02:10:42] Extraction réussie (completude: 100%)","Lot LOT-0001: Prestations de conseil, de collecte, de développem... (CPV 72600000)",3boamp2644098-2026-prestations-conseil-collecte.html,new,,1,,,FRANCE_MARCHES
INSTITUT FRANCAIS DUCHEVAL ET DE L'EQUITATION,INSTITUT FRANCAIS DUCHEVAL ET DE L'EQUITATION,,-,-,-,-,-,,-,EUR,-,-,,-,"Assistance à maîtrise d'oeuvre : prestations d'expertise, de développements informatiques et d'assistance technique",-,-,-,,France Marchés,-,3/boamp/2644226,-,-,-,26-44226,"References multiples: {'2026-22', '2026-22 - lot 5', '2026-22 - lot 6', '2026-22 - lot 3', '2026-22 - lot 4', '2026-22 - lot 2'}",72500000,"72500000, 72500000, 72500000, 72500000, 72500000, 72500000",,"19, 49",estimée,[2026-05-16 02:10:42] title: weborama_from_3 → 'Assistance à maîtrise d'oeuvre : prestations d'exp...'; [2026-05-16 02:10:42] Extraction réussie (completude: 100%),Lot LOT-0001: Lot 1 : Assistance à maîtrise d'oeuvre : prestatio... (CPV 72500000),3boamp2644226-2026-assistance-maitrise-oeuvre.html,new,faible,1,,,FRANCE_MARCHES
Bureau de Recherche en Géologie Minière (BRGM),Bureau de Recherche en Géologie Minière (BRGM),,-,-,-,-,-,,-,EUR,-,-,,-,TMA - TME DU SYSTEME D'INFORMATION DU DPSM,-,-,-,,France Marchés,-,3/boamp/2644837,-,-,-,26-44837,"References multiples: {'HADPSM260413', 'S-PF-1816545'}",72610000,"72610000, 72610000, 72610000",,45,estimée,[2026-05-16 02:10:42] title: weborama_from_3 → 'TMA - TME DU SYSTEME D'INFORMATION DU DPSM'; [2026-05-16 02:10:42] Extraction réussie (completude: 100%),Lot LOT-0000: TMA - TME DU SYSTEME D'INFORMATION DU DPSM... (CPV 72610000),3boamp2644837-2026-systeme-information-dpsm.html,new,faible,1,,,FRANCE_MARCHES
2026-04,2026-04,,-,-,-,-,-,,-,EUR,-,-,,-,Le présent marché a pour objet des prestations de maintien en condition opérationnelle de l'architecture technique de stockage de données et virtualisation de la HAS et des prestations associées.,-,-,-,,France Marchés,-,3/boamp/2646966,-,-,-,26-46966,,72000000,"72250000, 72267100, 72000000, 72250000, 72267100",,93,estimée,[2026-05-16 02:10:42] title: weborama_from_3 → 'Le présent marché a pour objet des prestations de ...'; [2026-05-16 02:10:42] Extraction réussie (completude: 100%),Lot LOT-0001: PRESTATIONS DE SUPPORT ET MAINTENANCE LOGICIEL... (CPV 72000000),3boamp2646966-2026-present-marche-pour?q=72200000.html,new,,1,"Le marché est conclu pour une période de 12 mois à compter de sa date de notification. A la date anniversaire du marché, la durée pourra être reconduit tacitement 03 fois pour une durée de 12 mois, soit une durée totale de 48 mois.",,FRANCE_MARCHES
Syndicat des énergies et de l'aménagement numérique de la Haute-Savoie (SYANE),Syndicat des énergies et de l'aménagement numérique de la Haute-Savoie (SYANE),,-,-,-,-,-,,-,EUR,-,-,,-,MISSIONS D'INFOGERANCE DE SYSTEMES D'INFORMATION,-,-,-,,France Marchés,-,3/boamp/2647530,-,-,-,26-47530,"References multiples: {'MS26084', 'S-PF-1820242'}",72514000,"72500000, 72610000, 72514000, 72500000, 72610000",,74,estimée,[2026-05-16 02:10:43] title: weborama_from_3 → 'MISSIONS D'INFOGERANCE DE SYSTEMES D'INFORMATION'; [2026-05-16 02:10:43] Extraction réussie (completude: 100%),Lot LOT-0000: MISSIONS D'INFOGERANCE DE SYSTEMES D'INFORMATION... (CPV 72514000),3boamp2647530-2026-missions-infogerance-systemes?q=72200000.html,new,faible,1,,,FRANCE_MARCHES
Tribunal admnistratif Cergy-Pontoise,Tribunal admnistratif Cergy-Pontoise,,-,-,-,-,-,,-,EUR,-,-,,-,MIse en place d'un outil conversationnel (chatbot).,-,-,-,,France Marchés,-,3/boamp/2647639,-,-,-,26-47639,,72000000,72000000,,92,maximum : 4 ans,[2026-05-16 02:10:43] title: weborama_from_3 → 'MIse en place d'un outil conversationnel (chatbot)...'; [2026-05-16 02:10:43] Extraction réussie (completude: 100%),Lot LOT-0001: Mise en place d’un outil conversationnel (chatbot)... (CPV 72000000),3boamp2647639-2026-mise-place-outil?q=72200000.html,new,,1,Reconduction par périodes d’un an. Durée maximum : 4 ans,,FRANCE_MARCHES
SPL P.A.R.S.E.F,SPL P.A.R.S.E.F,,-,-,-,-,-,,-,EUR,-,-,,-,Prestation IT : Réseau \\\/ Cloud \\\/ Sécurité,-,-,-,,France Marchés,-,3/boamp/2648308,-,-,-,26-48308,,,,Critères énoncés dans les documents de la consultation,77,du marché (en mois) :,[2026-05-16 02:10:43] title: weborama_from_3 → 'Prestation IT : Réseau \\\/ Cloud \\\/ Sécurité'; [2026-05-16 02:10:43] Extraction réussie (completude: 100%),,3boamp2648308-2026-prestation-reseau-cloud?q=72200000.html,new,,0,,,FRANCE_MARCHES
"Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM, France entière.",Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM,,,,,26/05/2026,26/05/2026,,66 mois,EUR,18.02 M€ HT,18.02 M€ HT,,Etat,Prestations d’assistance et d’expertise pour migration et déploiement des SI vers le cloud au profit du Centre Spécialisé Cloud du MINARM (référence interne DAF).,Val-de-Marne,Val-de-Marne,France entière,,SCRAPPING REDPOINT,Cf règlement de la consultation,DAF_2025_001001,Services,Procédure négociée,https://www.francemarches.com/appel-offre/37ao26181581260520263294-2026-prestations-assistance-expertise,26-39793,"References multiples: {'DAF_2025_001001', 'DAF_2025_00100_'}",72220000,72220000,,94,estimée,,Lot LOT-0001: CSC CLOUD... (CPV 72220000),37ao26181581260520263294-2026-prestations-assistance-expertise.html,matched,faible,1,,,-
Compagnie Nationale du Rhône,Compagnie Nationale du Rhône,,-,-,-,2026-06-10 00:00:00,2026-06-10 00:00:00,,-,,-,-,,-,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure),Lyon (69004) - Rhône (FRK26),Lyon (69004) - Rhône (FRK26),Lyon (69004) - Rhône (FRK26),,Marchés Online,-,DDA,-,-,-,,,,,,,,"[2026-05-16 02:10:43] title: h1_title_long_from_3_candidates → 'Accord-cadre Infrastructure hyperconvergée et VDI ...'; [2026-05-16 02:10:43] buyer: company_link_from_3_candidates → 'Compagnie Nationale du Rhône'; [2026-05-16 02:10:43] location: section_5_lieu → 'Lyon (69004) - Rhône (FRK26)'; [2026-05-16 02:10:43] date_limite: limite_visible_%d/%m/%Y → '10/06/2026'; [2026-05-16 02:10:43] cpv: found_8_codes → '72600000,72263000,48820000'; [2026-05-16 02:10:43] procedure_type: section_2 → 'Négociée avec publication préalable d'un appel à l...'; [2026-05-16 02:10:43] Extraction partielle (completude: 67%)",,DDA.html,new,,,,,MARCHES_ONLINE
Le Muretain Agglo,Le Muretain Agglo,,-,-,-,2026-06-02 00:00:00,2026-06-02 00:00:00,,-,,-,-,,-,"Renouvellement du système d'information, virtualisation de serveurs, plateforme de stockage et système de sauvegarde",MURET Cedex (31601) - Haute-Garonne ( FRJ23 ),MURET Cedex (31601) - Haute-Garonne ( FRJ23 ),MURET Cedex (31601) - Haute-Garonne ( FRJ23 ),,Marchés Online,-,Lot,-,-,-,,,,,,,,"[2026-05-16 02:10:43] title: h1_title_long_from_3_candidates → 'Renouvellement du système d'information, virtualis...'; [2026-05-16 02:10:43] buyer: company_link_from_4_candidates → 'Le Muretain Agglo'; [2026-05-16 02:10:43] location: section_5_lieu → 'MURET Cedex (31601) - Haute-Garonne ( FRJ23 )'; [2026-05-16 02:10:43] date_limite: limite_visible_%d/%m/%Y → '02/06/2026'; [2026-05-16 02:10:43] cpv: found_11_codes → '48800000,48822000,51611100'; [2026-05-16 02:10:43] procedure_type: section_2 → 'Ouverte'; [2026-05-16 02:10:43] contract_nature: section_2_or_5 → 'Fournitures'; [2026-05-16 02:10:43] duree_mois: section_5_1_3_structured → '5 ans = 60 mois'; [2026-05-16 02:10:43] Lots: LOT-0001 (5 ans); [2026-05-16 02:10:43] Extraction partielle (completude: 67%)",,Lot.html,new,,,,,MARCHES_ONLINE
GCS-UNIHA,GCS-UNIHA,,-,-,-,-,-,,-,EUR,-,-,,-,Prestations de services informatiques pour le développement et la maintenance des outils informatiques du GCS UniHA,-,-,-,,France Marchés,-,3/boamp/2643609,-,-,-,26-43609,"References multiples: {'LOT 1', 'M_3530', 'LOT 2'}",72200000,"72261000, 72200000, 72262000, 72200000, 72262000","Cout: 40%, Technique: 60%",69,estimée,[2026-05-16 02:10:43] title: weborama_from_2 → 'Prestations de services informatiques pour le déve...'; [2026-05-16 02:10:43] Extraction réussie (completude: 100%),"Lot LOT-0001: Prestations de développement informatique Webdev, ... (CPV 72200000)",M_3530.html,new,faible,1,,,FRANCE_MARCHES
