Référence,Intitulé synthétique,Type d'AO,Type,Fonction publique,Acheteur_auto,Acheteur_manual,Acheteur_clean,Localisation_auto,Localisation_manual,Localisation,Localisation_clean,Date_limite_auto,Date_limite_manual,Date limite de remise des offres,Durée initiale du marché,Reconduction(s),Estimation_auto,Estimation_manual,Estimation du marché,URL source HTTPS,Plateforme,match_status,match_source,review_needed,extraction_notes,Colonne 1,Colonne 2,Column 29,source_type,categorie_regime,preuve_regime,typologie_marche_verifiee,preuve_typologie,qualite_preuve_procedure,conflit_detecte,type_conflit,preuve_joue_detectee,source_preuve_joue,famille_procedure_deduite,niveau_procedure_deduit,justification_juridique_courte,seuil_formalise_applicable,code_couleur_procedure,type_acheteur_source,fonction_publique_source,llm_classification,llm_categorie_normee,llm_justification,llm_valid
RFI_CRM_2026-02,"RFI ""Outil de connaissance et de gestion des relations extérieures du CNRS""",-,etablissement_public,etat,EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest,,EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest,"(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne",,"(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne","(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne",2026-06-15 12:00:00,,2026-06-15 12:00:00,-,-,-,,-,-,PLACE,new,2998043?orgAcronyme=f2h.html,,"[2026-05-15 17:34:54] title: extracted_from_9_candidates → 'RFI ""Outil de connaissance et de gestion des relat...'; [2026-05-15 17:34:54] buyer: entite_achat_selected_from_7 → 'EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occi...'; [2026-05-15 17:34:54] location: with_dept_code → '(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonn...'; [2026-05-15 17:34:54] date_limite: date_heure_limite_plis → '15/06/2026 12:00:00'; [2026-05-15 17:34:54] cpv: found_1_codes → '72212445'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%)",-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,EPIC,"L'entité acheteuse mentionne le sigle 'CNRS', qui correspond à un Établissement Public à Caractère Industriel et Commercial (EPIC)",oui
1157695,Infogérance du système d'information de la ville de Croissy-sur-Seine,-,collectivite_territoriale,territoriale,Ville de Croissy-sur-Seine,,Ville de Croissy-sur-Seine,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,36parisien1157695-2026-infogerance-systeme-information.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Infogérance du système d'information de la ville d...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,collectivite_territoriale,collectivite_territoriale,La ville est une collectivité territoriale,oui
37AO26154015290520267275,"Cadrage, la conception, le développement, le maintien en conditions opérationnelles et de sécurité et l'assistance pour les applications composant le système d'information du Casier Judiciaire",-,etat,etat,Ministère de la Justice,,Ministère de la Justice,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,37ao26154015290520267275-2026-cadrage-conception-developpement.html,,"[2026-05-15 17:34:54] title: weborama_from_3 → 'Cadrage, la conception, le développement, le maint...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%)",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etat,Etat,"L'entité est un ministère, ce qui correspond à une administration centrale",oui
37AO26181552260520267275,"Prestations d'assistance technique, d'expertise et de conseil concernant les infrastructures, les services applicatifs et l'urbanisation du système d'information (' SI ') de la CNAF",-,etablissement_public,etat,CNAF Établissement public,,CNAF Établissement public,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,37ao26181552260520267275-2026-prestations-assistance-technique.html,,"[2026-05-15 17:34:54] title: weborama_from_3 → 'Prestations d'assistance technique, d'expertise et...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%)",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,etablissement_public,L'expression 'Etablissement public' est présente dans le nom de l'entité,oui
DAF_2025_001001,Prestations d’assistance et d’expertise pour migration et déploiement des SI vers le cloud au profit du Centre Spécialisé Cloud du MINARM (référence interne DAF).,Procédure négociée,Services,Etat,"Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM, France entière.",,Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM,Val-de-Marne,,Val-de-Marne,France entière,26/05/2026,,26/05/2026,66 mois,Cf règlement de la consultation,18.02 M€ HT,,18.02 M€ HT,https://www.francemarches.com/appel-offre/37ao26181581260520263294-2026-prestations-assistance-expertise,SCRAPPING REDPOINT,matched,37ao26181581260520263294-2026-prestations-assistance-expertise.html,,,,,,-,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,,,
3/boamp/2640079,"Mise à disposition, adaptation et maintenance du système d'information financière destiné à la gestion budgétaire et comptable de la HAS, organisme en comptabilité budgétaire publique.",-,etablissement_public,etat,Haute Autorité de Santé,,Haute Autorité de Santé,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2640079-2026-mise-disposition-adaptation.html,,"[2026-05-15 17:34:54] title: weborama_from_3 → 'Mise à disposition, adaptation et maintenance du s...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%)",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,etablissement_public,"L'expression 'Haute Autorité' évoque une entité publique chargée d'une mission administrative, ce qui correspond au profil des EPA (CND, SHOM) et EPIC (CEA, CNRS), mais les missions de la Haute Autorité de Santé lui donnent plutôt un profil d'établissement public administratif (EPA).",oui
3/boamp/2641049,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l'information et de la communication,-,etat,etat,Direction Générale des Finances Publiques,,Direction Générale des Finances Publiques,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2641049-2026-assistance-externe-pour.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Assistance externe pour la conduite de consultatio...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etat,Etat,La Direction Générale des Finances Publiques est un service déconcentré de l'État,oui
3/boamp/2641974,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,-,collectivite_territoriale,territoriale,VILLE de PARIS - DFA - SDA,,VILLE de PARIS - DFA - SDA,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2641974-2026-maintien-condition-operationnelle.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Maintien en condition opérationnelle et l'accompag...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,collectivite_territoriale,collectivite_territoriale,"La Ville de Paris est une collectivité territoriale, ici dénommée avec ses sigles (DFA pour Direction des Finances et Administration, SDA pour Service du Développement des Affaires)",oui
3/boamp/2642071,ASSISTANCE EN INGENIERIE DE COORDINATION DE PROJETS DATA \\\/ INGENIERIE D'EXPERTISE DATA AU SEIN DE LA DIRECTION DU SYSTEME D'INFORMATION DE LA REGION NOUVELLE-AQUITAINE,-,collectivite_territoriale,territoriale,Région Nouvelle-Aquitaine,,Région Nouvelle-Aquitaine,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2642071-2026-assistance-ingenierie-coordination.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'ASSISTANCE EN INGENIERIE DE COORDINATION DE PROJET...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,collectivite_territoriale,collectivite_territoriale,"La mention ""Région"" indique qu'il s'agit d'une collectivité territoriale",oui
3/boamp/2642106,Acquisition et mise en œuvre d'une solution ERP en mode SaaS avec site web marchand et application mobile,-,-,-,Association ASF Vacances,,Association ASF Vacances,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2642106-2026-acquisition-mise-oeuvre.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Acquisition et mise en œuvre d'une solution ERP en...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,inconnu,autre,L'association est une entité de droit privé,oui
3/boamp/2642682,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,-,etablissement_public,etat,SICIO,,SICIO,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2642682-2026-renouvellement-maintenance-serveurs.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Renouvellement et maintenance des serveurs de sauv...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,EPIC,La mention SICIO (Société d'Intérêt Collectif pour l'Informatique) et le fait qu'il s'agisse d'un établissement public à caractère industriel et commercial,oui
3/boamp/2643374,REFONTE DU SITE INTERNET DE L'ACADEMIE FRANCAISE - HEBERGEMENT - MAINTENANCE,-,collectivite_territoriale,territoriale,ACADEMIE FRANCAISE,,ACADEMIE FRANCAISE,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2643374-2026-refonte-site-internet.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'REFONTE DU SITE INTERNET DE L'ACADEMIE FRANCAISE -...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,collectivite_territoriale,collectivite_territoriale,"L'Académie Française est une institution publique dépendant de l'État, mais elle a un caractère territorial spécifique, étant présente dans différentes régions de France.",oui
3/boamp/2643609,Prestations de services informatiques pour le développement et la maintenance des outils informatiques du GCS UniHA,-,etablissement_public,etat,GCS-UNIHA,,GCS-UNIHA,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2643609-2026-prestations-services-informatiques.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Prestations de services informatiques pour le déve...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,EPA,GCS-UNIHA est une école supérieure et un EPA (etablissement public administratif) en raison de sa dénomination,oui
3/boamp/2644098,"Prestations de conseil, de collecte, de développement, d'exploitation de données pour le Data Office",-,etablissement_public,etat,Organisation qui passe un marché subventionné par un pouvoir adjudicateur,,Organisation qui passe un marché subventionné par un pouvoir adjudicateur,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2644098-2026-prestations-conseil-collecte.html,,"[2026-05-15 17:34:54] title: weborama_from_3 → 'Prestations de conseil, de collecte, de développem...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%)",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,EPA,"Le texte fait référence à un 'pouvoir adjudicateur' qui subventionne le marché, ce qui caractérise un établissement public administratif (EPA).",oui
3/boamp/2644226,"Assistance à maîtrise d'oeuvre : prestations d'expertise, de développements informatiques et d'assistance technique",-,etablissement_public,etat,INSTITUT FRANCAIS DUCHEVAL ET DE L'EQUITATION,,INSTITUT FRANCAIS DUCHEVAL ET DE L'EQUITATION,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2644226-2026-assistance-maitrise-oeuvre.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Assistance à maîtrise d'oeuvre : prestations d'exp...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,EPIC,L'expression 'Établissement public à caractère industriel et commercial' est présente dans le nom de l'entité acheteuse,oui
3/boamp/2644837,TMA - TME DU SYSTEME D'INFORMATION DU DPSM,-,etablissement_public,etat,Bureau de Recherche en Géologie Minière (BRGM),,Bureau de Recherche en Géologie Minière (BRGM),-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2644837-2026-systeme-information-dpsm.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'TMA - TME DU SYSTEME D'INFORMATION DU DPSM'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,etablissement_public,L'indication de l'appartenance à un BRGM suggère une entité issue d'une université ou un organisme public spécialisé,oui
3/boamp/2646966,Le présent marché a pour objet des prestations de maintien en condition opérationnelle de l'architecture technique de stockage de données et virtualisation de la HAS et des prestations associées.,-,-,-,2026-04,,2026-04,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2646966-2026-present-marche-pour?q=72200000.html,,[2026-05-15 17:34:55] title: weborama_from_3 → 'Le présent marché a pour objet des prestations de ...'; [2026-05-15 17:34:55] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,inconnu,autre,Impossible à déterminer,oui
3/boamp/2647530,MISSIONS D'INFOGERANCE DE SYSTEMES D'INFORMATION,-,collectivite_territoriale,territoriale,Syndicat des énergies et de l'aménagement numérique de la Haute-Savoie (SYANE),,Syndicat des énergies et de l'aménagement numérique de la Haute-Savoie (SYANE),-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2647530-2026-missions-infogerance-systemes?q=72200000.html,,[2026-05-15 17:34:55] title: weborama_from_3 → 'MISSIONS D'INFOGERANCE DE SYSTEMES D'INFORMATION'; [2026-05-15 17:34:55] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,collectivite_territoriale,collectivite_territoriale,"Le terme 'syndicat' fait référence à un organisme intercommunal, ce qui le qualifie comme une collectivité territoriale",oui
3/boamp/2647639,MIse en place d'un outil conversationnel (chatbot).,-,etablissement_public,etat,Tribunal admnistratif Cergy-Pontoise,,Tribunal admnistratif Cergy-Pontoise,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2647639-2026-mise-place-outil?q=72200000.html,,[2026-05-15 17:34:55] title: weborama_from_3 → 'MIse en place d'un outil conversationnel (chatbot)...'; [2026-05-15 17:34:55] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,etablissement_public,"L'entité est un tribunal administratif, ce qui suggère qu'il s'agit d'un établissement public.",oui
3/boamp/2648308,Prestation IT : Réseau \\\/ Cloud \\\/ Sécurité,-,collectivite_territoriale,territoriale,SPL P.A.R.S.E.F,,SPL P.A.R.S.E.F,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,3boamp2648308-2026-prestation-reseau-cloud?q=72200000.html,,[2026-05-15 17:34:55] title: weborama_from_3 → 'Prestation IT : Réseau \\\/ Cloud \\\/ Sécurité'; [2026-05-15 17:34:55] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,collectivite_territoriale,collectivite_territoriale,"L'acronyme SPL fait référence à Syndicat de Projet d'Aire de Réalisations Socio-Économiques ou Financières, qui peut être un syndicat intercommunal, donc une collectivité territoriale.",oui
MO-9589316,Infogérance du système d'information de l'INSEAMM.,-,etablissement_public,etat,ESADMM,,ESADMM,13 - MARSEILLE,,13 - MARSEILLE,13 - MARSEILLE,2026-05-29 00:00:00,,2026-05-29 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9589316-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_4_candidates → 'Infogérance du système d'information de l'INSEAMM.'; [2026-05-15 17:34:55] buyer: company_link_from_2_candidates → 'ESADMM'; [2026-05-15 17:34:55] location: info_block → '13 - MARSEILLE'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '29/05/2026'; [2026-05-15 17:34:55] cpv: found_4_codes → '20002920,72500000,72500000'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Procédure adaptée ouverte'; [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,etablissement_public,L'ESADMM (Ecole Supérieure des Arts Décoratifs de Marseille) est une établissements public à caractère administratif,oui
MO-9591946,Prestations d'assistance et d'expertise pour la migration et le déploiement des systèmes d'information vers le cloud au profit du Centre Spécialisé Cloud du MINARM,-,etat,etat,MINDEF/DIRISI/Bureau Marchés.,,MINDEF/DIRISI/Bureau Marchés.,Le Kremlin-Bicêtre (94270) - Val-de-Marne ( FR107 ),,Le Kremlin-Bicêtre (94270) - Val-de-Marne ( FR107 ),Le Kremlin-Bicêtre (94270) - Val-de-Marne ( FR107 ),2026-05-26 00:00:00,,2026-05-26 00:00:00,-,-,18025000.0,,18025000.0,-,Marchés Online,new,ao-9591946-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_2_candidates → 'Prestations d'assistance et d'expertise pour la mi...'; [2026-05-15 17:34:55] buyer: company_link_from_3_candidates → 'MINDEF/DIRISI/Bureau Marchés.'; [2026-05-15 17:34:55] location: section_5_lieu → 'Le Kremlin-Bicêtre (94270) - Val-de-Marne ( FR107 ...'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '26/05/2026'; [2026-05-15 17:34:55] cpv: found_7_codes → '32786617,72220000,72220000'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Négociée avec publication préalable d'un appel à l...'; [2026-05-15 17:34:55] contract_nature: section_2_or_5 → 'Services'; [2026-05-15 17:34:55] duree_mois: section_5_1_3_structured → '66 mois = 66 mois'; [2026-05-15 17:34:55] estimation_eur: section_2_1_3_global_fallback → '18025000 EUR'; [2026-05-15 17:34:55] Lots: LOT-0001 (66 mois); [2026-05-15 17:34:55] Valeur globale (Section 2.1.3): 18025000 EUR; [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etat,Etat,Direction d'administration centrale du ministère de la Défense,oui
MO-9592936,"Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités.",-,etablissement_public,etat,Gaz Electricité de Grenoble,,Gaz Electricité de Grenoble,Grenoble (38042) - Isère (FRK24),,Grenoble (38042) - Isère (FRK24),Grenoble (38042) - Isère (FRK24),2026-05-26 00:00:00,,2026-05-26 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9592936-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_4_candidates → 'Fourniture, mise en oeuvre d'un Security Operation...'; [2026-05-15 17:34:55] buyer: company_link_from_2_candidates → 'Gaz Electricité de Grenoble'; [2026-05-15 17:34:55] location: section_5_lieu → 'Grenoble (38042) - Isère (FRK24)'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '26/05/2026'; [2026-05-15 17:34:55] cpv: found_14_codes → '81857697,72222300,72222300'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Négociée avec publication préalable d'un appel à l...'; [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,semi_public,La mention 'Electricité' et le nom de localisation ('Grenoble') suggèrent une entité d'économie mixte (SEM),oui
MO-9594452,"Marché de prestations de maintenance d'assistance et d'infogérance du parc informatique, réseau et télécom de l'EPPGHV..",-,etablissement_public,etat,Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV),,Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV),Paris (75019) - Paris ( FR101 ),,Paris (75019) - Paris ( FR101 ),Paris (75019) - Paris ( FR101 ),2026-06-01 00:00:00,,2026-06-01 00:00:00,-,-,660000.0,,660000.0,-,Marchés Online,new,ao-9594452-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_4_candidates → 'Marché de prestations de maintenance d'assistance ...'; [2026-05-15 17:34:55] buyer: company_link_from_4_candidates → 'Etablissement Public du Parc et de la Grande Halle...'; [2026-05-15 17:34:55] fonction_publique: forme_droit_public → 'etat'; [2026-05-15 17:34:55] location: section_5_lieu → 'Paris (75019) - Paris ( FR101 )'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '01/06/2026'; [2026-05-15 17:34:55] cpv: found_12_codes → '72500000,72610000,72611000'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Ouverte'; [2026-05-15 17:34:55] contract_nature: section_2_or_5 → 'Services'; [2026-05-15 17:34:55] duree_mois: section_5_1_3_structured → '4 ans = 48 mois'; [2026-05-15 17:34:55] estimation_eur: section_5_1_5_valeur_estimee → '660000 EUR'; [2026-05-15 17:34:55] Lots: LOT-0001 (4 ans) est=660000EUR max=160000EUR; [2026-05-15 17:34:55] Valeur estimée: 660000 EUR; [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etablissement_public,etablissement_public,L'EPPGHV est un établissement public administratif spécialisé dans l'animation culturelle,oui
MO-9595379,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,-,collectivite_territoriale,territoriale,Ville de Paris,,Ville de Paris,PARIS (75013) - Paris ( FR101 ),,PARIS (75013) - Paris ( FR101 ),PARIS (75013) - Paris ( FR101 ),2026-06-09 00:00:00,,2026-06-09 00:00:00,-,-,-,,-,-,Marchés Online,new,ao-9595379-1.html,,"[2026-05-15 17:34:55] title: h1_title_long_from_3_candidates → 'Maintien en condition opérationnelle et l'accompag...'; [2026-05-15 17:34:55] buyer: company_link_from_4_candidates → 'Ville de Paris'; [2026-05-15 17:34:55] location: section_5_lieu → 'PARIS (75013) - Paris ( FR101 )'; [2026-05-15 17:34:55] date_limite: limite_visible_%d/%m/%Y → '09/06/2026'; [2026-05-15 17:34:55] cpv: found_5_codes → '72250000,72250000,21750001'; [2026-05-15 17:34:55] procedure_type: section_2 → 'Ouverte'; [2026-05-15 17:34:55] contract_nature: section_2_or_5 → 'Services'; [2026-05-15 17:34:55] duree_mois: section_5_1_3_structured → '48 mois = 48 mois'; [2026-05-15 17:34:55] Lots: LOT-0001 (48 mois); [2026-05-15 17:34:55] Extraction réussie (completude: 100%)",-,-,-,MARCHES_ONLINE,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,collectivite_territoriale,collectivite_territoriale,L'expression 'Ville de Paris' correspond à une commune,oui
