reference,titre,acheteur,type_acheteur,fonction_publique,procedure_type,type_marche,ccag_type,cpv_principal,cpv_secondaires,localisation,date_limite_remise_offres,duree,renouvellements,montant_estime,url_marche,url_provenance,fichier_source_html,plateforme_source,verification_requise,raisons_verification,notes_verification,typologie_marche_verifiee,seuil_formalise_applicable,categorie_acheteur_seuil,preuve_joue_detectee,source_preuve_joue,niveau_procedure_deduit,justification_juridique_courte,code_couleur_procedure
MO-9595379,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,Ville de Paris,collectivite_territoriale,territoriale,MAPA,,,72250000,72250000|15329441|00590169|00650699,75 - VILLE DE PARIS,2026-06-09 00:00:00,48.0,,,https://www.marchesonline.com/appels-offres/avis/maintien-en-condition-operationnelle-et-l-accompagneme/ao-9595379-1,canonical,ao-9595379-1.html,MARCHES_ONLINE,True,ccag_type_manquant,,fournitures,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (216,000 EUR).",MAPA_SOUS_SEUIL
MO-9595420,Tierce maintenance d'exploitation et de services des agences de l'eau.,Agence de l'Eau Seine Normandie,etablissement_public,etat,MAPA,,,72250000,72250000|72514000|15329482|00590169|00650699,92 - AGENCE DE L'EAU SEINE NORMANDIE,2026-05-26 00:00:00,,,25000000 EUR,https://www.marchesonline.com/appels-offres/avis/tierce-maintenance-d-exploitation-et-de-services-des-ag/ao-9595420-1,canonical,ao-9595420-1.html,MARCHES_ONLINE,True,ccag_type_manquant,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (140,000 EUR).",MAPA_SOUS_SEUIL
MO-9596025,Prestations de services informatiques pour le développement et la maintenance des outils informatiques.,GCS UNIHA,etablissement_public,hospitaliere,MAPA,services,prestations_intellectuelles,72200000,72200000|72261000|72262000|15331741|00590169|00650699,69 - LYON,2026-06-02 00:00:00,48.0,,900000 EUR,https://www.marchesonline.com/appels-offres/avis/prestations-de-services-informatiques-pour-le-developp/ao-9596025-2,canonical,ao-9596025-2.html,MARCHES_ONLINE,False,,,services,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (216,000 EUR).",MAPA_SOUS_SEUIL
MO-9596601,"Fourniture et intégration de matériels et logiciels informatiques, services d'infogérance et de cybersécurité.",SPL SEMEA,collectivite_territoriale,territoriale,MAPA,services,tic,72500000,72500000|72315200|72700000|15330787|00590169|00650699,16 - ANGOULEME,2026-06-02 00:00:00,,"L'acheteur se réserve le droit d'effectuer des achats supplémentaires auprès du contractant, comme décrit ici : L'accord",,https://www.marchesonline.com/appels-offres/avis/fourniture-et-integration-de-materiels-et-logiciels-i/ao-9596601-1,canonical,ao-9596601-1.html,MARCHES_ONLINE,True,fonction_publique_inconnue,,services,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (216,000 EUR).",MAPA_SOUS_SEUIL
MO-9596814,Prestations logicielles relatives aux automates industriels pour SOLEIL II.,Synchrotron Soleil,etablissement_public,etat,MAPA,services,prestations_intellectuelles,72600000,72600000|48100000|15330912|00590169|00650699,91 - SYNCHROTRON SOLEIL,2026-06-01 00:00:00,12.0,,,https://www.marchesonline.com/appels-offres/avis/prestations-logicielles-relatives-aux-automates-industr/ao-9596814-1,canonical,ao-9596814-1.html,MARCHES_ONLINE,True,fonction_publique_inconnue,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (140,000 EUR).",MAPA_SOUS_SEUIL
MO-9596821,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées.,SICIO,inconnu,inconnue,MAPA,fournitures,,72250000,72250000|15330919|00590169|00650699,94 - SICIO,2026-06-04 00:00:00,48.0,,800000 EUR,https://www.marchesonline.com/appels-offres/avis/renouvellement-et-maintenance-des-serveurs-de-sauvegard/ao-9596821-1,canonical,ao-9596821-1.html,MARCHES_ONLINE,True,ccag_type_manquant | fonction_publique_inconnue,,fournitures,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (216,000 EUR).",MAPA_SOUS_SEUIL
MO-9597280,"Fourniture, mise en oeuvre et maintien en condition opérationnelle de l'infrastructure informatique de CMC.",Centre Morbihan Communauté,collectivite_territoriale,territoriale,MAPA,services,,72222300,72222300|48000000|72250000|15331955|00590169|00650699,56 - CC CENTRE MORBIHAN,2026-06-02 00:00:00,48.0,,450000 EUR,https://www.marchesonline.com/appels-offres/avis/fourniture-mise-en-oeuvre-et-maintien-en-condition-op/ao-9597280-1,canonical,ao-9597280-1.html,MARCHES_ONLINE,True,ccag_type_manquant | fonction_publique_inconnue,,services,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (216,000 EUR).",MAPA_SOUS_SEUIL
MO-9597894,"Renouvellement du système d'information, virtualisation de serveurs, plateforme de stockage et système de sauvegarde",Le Muretain Agglo,collectivite_territoriale,territoriale,MAPA,services,fournitures_courantes_services,48800000,48800000|48822000|51611100|58005186|15332032|00590169|00650699,31 - MURET,2026-06-02 00:00:00,60.0,,,https://www.marchesonline.com/appels-offres/avis/renouvellement-du-systeme-d-information-virtualisatio/ao-9597894-1,canonical,ao-9597894-1.html,MARCHES_ONLINE,True,fonction_publique_inconnue,,fournitures,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (216,000 EUR).",MAPA_SOUS_SEUIL
MO-9598475,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure),Compagnie Nationale du Rhône,inconnu,hors_fonction_publique,MAPA,services,prestations_intellectuelles,72600000,72600000|72263000|48820000|15332602|00590169|00650699,69 - LYON,2026-06-10 00:00:00,96.0,3 reconduction(s),"5000000,00 EUR",https://www.marchesonline.com/appels-offres/avis/accord-cadre-infrastructure-hyperconvergee-et-vdi-vir/ao-9598475-1,canonical,ao-9598475-1.html,MARCHES_ONLINE,True,fonction_publique_inconnue,,services,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (216,000 EUR).",MAPA_SOUS_SEUIL
MO-9599071,"Prestations de support, infogérance et supervision pour les Services Numériques Éducatifs, et pour les environnements de travail, Data Centers, Infrastructures, Réseaux, Pare-Feux et Téléphonie de la Région Grand-Est, ainsi que de stockage ...",Région Grand Est,collectivite_territoriale,territoriale,MAPA,services,tic,72253000,72253000|63120000|72250000|72600000|15333089|00590169|00650699,67 - REGION GRAND EST,2026-06-18 00:00:00,24.0,Description : Le guichet de maintenance « IRIS » est au centre de la mission confiée au titulaire. L'objectif du lot 1 e,6500000 EUR,https://www.marchesonline.com/appels-offres/avis/prestations-de-support-infogerance-et-supervision-pou/ao-9599071-1,canonical,ao-9599071-1.html,MARCHES_ONLINE,False,,,services,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (216,000 EUR).",MAPA_SOUS_SEUIL
MO-9599869,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre.",GHT de la Nièvre - Centre hospitalier Pierre Beregovoy,etablissement_public,hospitaliere,MAPA,fournitures,fournitures_courantes_services,72500000,72500000|15333941|00590169|00650699,58 - NEVERS,2026-06-05 00:00:00,,,,https://www.marchesonline.com/appels-offres/avis/maintien-en-condition-operationnelle-de-l-infrastructu/ao-9599869-1,canonical,ao-9599869-1.html,MARCHES_ONLINE,False,,,fournitures,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (216,000 EUR).",MAPA_SOUS_SEUIL
RFI_CRM_2026-02,"RFI ""Outil de connaissance et de gestion des relations extérieures du CNRS""",EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest,etablissement_public,etat,inconnu,,,72212445,72212445|47841249,"(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne",2026-06-15 12:00:00,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2998043?orgAcronyme=f2h,fallback_place,2998043?orgAcronyme=f2h.html,PLACE_NUMERIC,True,ccag_type_manquant,,indetermine,140000,autorite_publique_centrale,oui,URL marches-publics.gouv.fr (portal JOUE),INDETERMINE,Typologie du marche insuffisamment etablie pour appliquer le seuil pertinent.,INDETERMINE
Shom_26AC07,Maintien en conditions opérationnelles et de sécurité du Digital Workplace Odyssée du Shom,MINARM / ESTM / EPA / SHOM - Service hydrographique et océanographique de la Marine,etablissement_public,etat,inconnu,services,tic,72267000,72267000|72200000|98548097,(29) Finistère,2026-06-18 09:00:00,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2956468?orgAcronyme=g7h,fallback_place,2956468?orgAcronyme=g7h.html,PLACE_NUMERIC,False,,,services,140000,autorite_publique_centrale,oui,URL marches-publics.gouv.fr (portal JOUE),INDETERMINE,Type de procedure non specifie ; impossible de qualifier le niveau de procedure.,INDETERMINE
